"PATRINGTON SPURN HEAD",,,,,,,,,,,,
Grid ref,TA403112,Long,0.117631,Lat,53.578633,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.44,0.54,0.58,1.79,1.31,0.11,2.16,0.69,0.81,0.44,,
February,2.34,1.32,0.92,0.44,1.47,0.54,2.06,1.35,1.50,1.09,,
March,0.23,1.36,1.22,2.02,1.16,1.23,1.18,0.93,1.46,2.69,,
April,0.60,1.34,1.13,1.96,0.46,1.36,0.61,1.65,1.97,1.31,,
May,1.20,0.60,3.21,2.76,1.06,0.89,0.88,2.48,1.09,0.90,,
June,1.66,1.22,1.98,1.45,0.38,1.85,1.25,1.93,0.94,1.85,,
July,1.73,1.36,1.62,2.89,2.97,0.90,0.57,0.80,2.12,3.80,,
August,2.80,1.67,1.79,4.03,3.24,1.85,2.11,1.87,1.53,3.92,,
September,0.41,0.79,0.32,2.80,1.96,1.16,0.53,0.52,2.13,1.23,,
October,1.92,1.60,2.55,4.37,0.47,2.01,4.54,3.38,0.82,2.78,,
November,2.03,2.37,1.04,1.68,1.22,2.61,2.22,1.49,1.03,0.53,,
December,2.66,4.33,1.52,0.60,1.30,0.30,1.25,1.63,1.12,3.48,,
Total,20.02,18.50,17.88,26.79,17.00,14.81,19.36,18.72,16.52,24.02,,
Calc annual,20.02,18.50,17.88,26.79,17.00,14.81,19.36,18.72,16.52,24.02,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
