"SPURN HEAD (R.N. SIGNAL STN.)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3390/1,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.58,2.48,2.86,2.50,3.45,1.43,1.53,3.31,1.06,0.87,,
February,2.66,0.76,0.22,2.93,1.37,2.73,2.00,0.73,0.24,3.58,,
March,3.09,0.68,0.27,0.48,0.84,1.02,3.72,0.37,0.69,0.57,,
April,0.87,0.81,0.96,1.06,2.32,0.94,1.26,1.88,1.96,1.79,,
May,1.76,2.54,2.17,1.07,1.28,1.13,0.37,2.26,1.25,2.15,,
June,0.29,1.26,1.29,1.91,1.33,2.68,1.87,2.41,0.40,2.57,,
July,3.79,1.49,0.89,2.44,1.26,2.53,0.77,1.06,2.45,2.30,,
August,2.64,0.99,1.70,2.68,2.67,3.51,0.14,2.47,1.47,1.72,,
September,0.41,2.01,1.91,3.69,1.18,2.43,0.80,2.69,0.56,2.90,,
October,2.40,2.04,0.82,1.70,1.22,2.44,0.48,1.69,2.78,0.87,,
November,2.12,1.87,2.29,2.91,1.03,3.51,1.24,0.92,2.36,3.50,,
December,0.41,1.52,0.66,1.04,1.61,1.95,2.23,2.47,1.93,2.25,,
Total,23.02,18.45,16.04,24.41,19.56,26.30,16.41,22.26,17.15,25.07,,
Calc annual,23.02,18.45,16.04,24.41,19.56,26.30,16.41,22.26,17.15,25.07,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,,
