BATH-THE-PARAGON,,,,,,,,,,
Grid ref,ST750654,Long,-2.35962,Lat,51.38743,Elevation,131,ft,,
Station no,RR8479,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,2.81,5.02,2.83,4.99,5.17
February,,,,,,1.73,4.35,2.27,1.9,2.94
March,,,,,,0.74,2.09,4.2,1.7,1.39
April,,,,,,0.73,2.05,2.68,2.18,0.97
May,,,,,,1.88,1.09,1.99,0.79,4.92
June,,,,,,1.6,3.45,2.36,0.63,1.38
July,,,,,,3.13,2.07,3.29,0.71,1.07
August,,,,,,4.25,2.57,2.82,4.99,1.1
September,,,,,,0.17,6.89,1.88,3.38,4.39
October,,,,,,5.35,1.74,3.49,2.64,2.1
November,,,,,,3.69,2.03,0.9,2.06,2.64
December,,,,,,2.07,3.4,1.74,5.86,4.21
Total,,,,,,28.15,36.75,30.45,31.83,32.28
,,,,,,,,,,
21 Paragon,,,,,,,,,,
Gauge 1ft 3in above ground,,,,,,,,,,
