BATH-THE-PARAGON,,,,,,,,,,,,,,,,,,,,
Grid ref,ST750654,Long,-2.35962,Lat,51.38743,Elevation,131,ft,,,,,,,,,,,,
Station no,RR8479,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,,2.54,2.49,5.28,4.21,,,,,,
February,,,,,,,,,,,2.15,1.53,3.41,1.54,,,,,,
March,,,,,,,,,,1.45,1.33,1.37,2.19,3.59,,,,,,
April,,,,,,,,,,0.98,0.54,3.57,2.99,0.66,,,,,,
May,,,,,,,,,,4.82,2.13,1.01,2,1.71,,,,,,
June,,,,,,,,,,1.43,0.79,1.84,3.4,1.11,,,,,,
July,,,,,,,,,,1.05,0.91,5.02,2.42,2.63,,,,,,
August,,,,,,,,,,1.07,1.34,1.22,1.6,3.03,,,,,,
September,,,,,,,,,,4.44,1.19,5.71,3.15,1.25,,,,,,
October,,,,,,,,,,2.11,5.33,1.6,3.71,2.54,,,,,,
November,,,,,,,,,,2.76,2.2,0.77,4.01,2.56,,,,,,
December,,,,,,,,,,4.23,2.06,2.03,4.5,0.56,,,,,,
Total,,,,,,,,,,,22.51,28.16,38.66,25.39,,,,,,
,,,,,,,,,,,,,,,,,,,,
21 Paragon,,,,,,,,,,,,,,,,,,,,
Gauge 6ft above ground,,,,,,,,,,,,,,,,,,,,
