LOCH DRUNKIE,,,,,,,,,,,,
Grid ref,NN546041,Long,-4.345656,Lat,56.207208,,,,,,,
Station no,5510,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,10.10,4.50,4.50,13.00,6.80,3.60,10.60,4.60,9.00,10.00,,
February,3.15,2.00,2.10,11.20,5.00,4.50,4.60,7.85,4.70,2.75,,
March,0.30,4.20,4.50,11.60,3.80,7.70,5.10,6.05,6.00,1.80,,
April,4.40,5.90,1.90,1.80,8.30,3.70,2.40,2.75,1.60,5.85,,
May,6.00,2.60,2.20,2.10,5.50,2.70,6.40,6.10,3.30,5.20,,
June,6.50,5.00,2.65,3.80,3.20,1.50,1.30,6.00,3.25,2.90,,
July,4.25,3.20,3.50,6.80,2.90,4.00,4.00,3.00,5.10,3.95,,
August,6.20,3.90,3.40,10.00,6.60,7.80,6.00,7.60,5.60,3.60,,
September,6.20,4.90,4.80,5.00,6.80,3.40,3.45,2.50,10.40,2.05,,
October,7.30,6.80,4.30,11.50,4.70,4.50,8.70,4.50,2.10,10.85,,
November,8.40,3.20,5.20,4.20,2.40,7.10,5.80,4.85,6.15,4.10,,
December,15.70,7.30,8.50,6.70,9.30,6.00,4.35,8.05,7.00,8.70,,
Total,78.50,53.50,47.55,87.70,65.30,56.50,62.70,63.85,64.20,61.75,,
Calc annual,78.50,53.50,47.55,87.70,65.30,56.50,62.70,63.85,64.20,61.75,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
