Rainfall at,LOCH DRUNKIE
,
Station no,5510,
,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,1.20,7.60,9.30,9.30,2.95,10.50,8.20,11.09,10.00,6.35,
February,7.60,2.10,6.50,2.60,11.10,5.00,0.50,7.25,8.10,8.30,
March,3.20,4.30,4.60,0.90,7.00,4.90,4.50,6.00,2.95,3.25,
April,2.50,4.60,5.60,4.35,3.20,1.60,10.25,4.85,5.80,4.90,
May,3.20,4.20,4.45,4.40,4.55,2.27,5.20,2.25,3.60,2.60,
June,1.10,2.03,6.20,5.80,5.90,5.53,5.10,5.85,3.00,2.20,
July,4.50,3.00,3.50,4.30,3.90,4.30,5.90,6.35,2.50,8.15,
August,5.70,7.80,8.80,3.90,2.10,6.00,0.00,10.50,7.40,8.60,
September,2.80,10.30,5.25,5.70,8.45,9.40,7.72,9.80,3.70,12.10,
October,6.40,8.10,14.95,6.80,8.80,0.90,5.20,13.20,9.20,7.10,
November,5.80,1.35,4.30,8.90,0.40,11.00,11.60,5.65,6.40,3.60,
December,5.30,10.40,4.20,8.10,6.20,7.50,2.35,8.95,13.60,2.70,
Total,49.30,65.78,77.65,65.05,64.55,68.90,66.52,91.74,76.25,69.85,
Calc annual,49.30,65.78,77.65,65.05,64.55,68.90,66.52,91.74,76.25,69.85,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,
