"LOCH DRUNKIE",,,,,,,,,,,,
Grid ref,NN546041,Long,-4.345656,Lat,56.207208,,,,,,,
Station no,5510,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.80,5.30,3.60,7.40,4.70,4.80,10.60,7.00,2.50,5.00,,
February,4.10,1.20,3.50,6.40,3.50,2.10,4.30,2.80,3.30,5.20,,
March,4.00,6.30,2.30,4.40,2.80,3.40,7.60,2.10,5.10,3.10,,
April,4.50,2.70,3.27,2.95,4.50,1.70,2.70,2.50,4.80,6.00,,
May,1.30,1.80,3.10,4.90,4.10,3.80,3.80,5.10,0.90,3.70,,
June,3.10,3.10,2.85,4.30,3.90,3.10,2.30,3.30,3.30,3.70,,
July,4.00,2.70,7.10,4.30,0.80,6.00,4.70,6.00,6.60,4.70,,
August,6.50,5.00,4.70,7.00,1.20,6.20,5.10,6.40,1.50,5.10,,
September,4.80,3.20,7.70,9.00,5.20,6.80,3.90,5.70,1.50,4.10,,
October,2.00,5.80,4.10,11.70,6.00,4.40,7.10,6.70,6.60,4.70,,
November,8.90,2.50,11.20,10.30,3.00,2.20,2.10,2.40,7.90,7.40,,
December,10.10,6.00,9.30,12.10,12.60,8.40,9.10,7.80,11.10,8.60,,
Total,60.10,45.60,62.72,84.75,52.30,52.90,63.30,57.80,55.10,61.30,,
Calc annual,60.10,45.60,62.72,84.75,52.30,52.90,63.30,57.80,55.10,61.30,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,,
