ROCHDALE PARK OBSERVATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD895130,Long,-2.160186,Lat,53.613442,Elevation,472,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,4.84,1.98,0.53,1.01,4.44,5.34,5.65,2.71,7.8,2.82,2.37,2.46,5.73,3.54,4.41,1.64,4.46,4.09,2.21,2.32,3.64,6.67,7.18,3.38,2.97,4,3.57,2.41,5.99,2.47,4.4,3.39,6.26,1.85,5.09,4.57,3.94,7.17,4.09,3.74,4.25,5.4,5.47,7.62,4.03,4.71,3.84,3.84,5.71,5.36,11.25,2.39,6.5,5.65,5.85,2.87,3.73,1.64,4.28,2.95,4.43,5.04,2.43
February,,,,,,,,,1.57,3.23,3.29,7.94,3.54,2.21,2.73,3.8,0.77,0.93,1.68,3.12,0.56,0.51,3.12,5.77,6.45,0.58,2.46,2.89,4.31,1.67,5.1,1.97,1.61,4.27,4.02,2.76,4.59,2.89,4.38,2.49,5.39,5.74,2.25,1.62,3.07,5.65,6.09,1.35,7.09,1.25,4.7,0.6,5.19,6.56,1.56,6.57,3.97,2.25,5.15,0.94,0.39,5.6,0.22,3.09,0.48,4.72,2.16,5.33,1.91,4.89,1.98
March,,,,,,,,,2.93,2.08,4.22,5.22,3.85,1.4,2.63,2.92,4.62,2.68,2.84,3.08,3.86,2.48,1.58,1.04,4.54,3.78,5.78,4.48,2.44,2.05,0.76,4.18,2.33,5.01,2.89,4.05,3.91,4.16,3.46,3.43,1.11,2.49,6.14,5.42,5.76,2.23,2.78,3.03,2.38,6.35,4.09,4.11,3.24,2.29,1.72,1.89,2.63,5.87,3.07,1.55,3.02,0.36,2.44,2.82,2.4,1.41,2.59,1.77,1.03,2.32,3.28
April,,,,,,,,,1.8,1.82,2.46,1.88,5.28,1.91,1.36,1.32,3.42,1.26,2.21,2.56,1.48,2.59,1.59,0.73,1.8,2.21,1.93,3.19,2.81,4.09,3.13,3.33,2.19,2.16,3.22,3.68,2.17,2.09,2.78,4.21,3.43,2.99,1.44,4.94,1.71,2.09,3.57,2.58,1.4,2.68,5.92,1.84,2.59,4.12,1.94,3,2.13,3.76,1.03,1.18,2.56,3.26,3.75,1.89,2.11,3.23,0.89,2,0.54,1.58,2.53
May,,,,,,,,,4.65,1.99,3,4.86,1.69,0.75,1.62,2.22,7.11,2.59,0.87,2.32,3.33,3.11,4.7,2.48,3.1,0.85,0.48,2.18,3.64,3.45,1.75,1.37,3.09,3.89,3.18,0.56,3.14,4.04,3.05,2.34,3.18,2.06,2.73,3.8,2.49,1.79,3.14,3.15,2.52,2.25,6.08,2.46,1.39,4.28,6,7.42,4.2,1.84,1.27,4.06,2.07,2.6,4.35,1.77,2.55,0.87,1.39,2.37,3.55,1.57,1.22
June,,,,,,,,,2.8,6.19,2.53,2.36,7.06,4.49,0.89,5.11,2.35,0.85,2.43,1.35,3.71,2.23,3.65,2.4,3.4,3.32,3.22,4.54,2.95,2.09,5.78,1.98,1.16,1.69,1.06,3.13,1.44,7.89,1.74,2.53,4.09,3.42,5.69,2.77,3.02,1.35,2.57,2.24,1.63,2.24,2.8,0.42,2.51,1.3,2.36,0.33,2.96,4.01,6.61,1.47,2.57,5.6,0.9,2.29,2.05,4.33,3.84,1.96,4.56,3.21,0.93
July,,,,,,,,,0.58,6.19,7.18,4.26,6.26,2.61,4.59,1.8,5.41,2.22,7.13,3.7,3,3.87,3.36,4,3.52,6.2,2.76,1.62,0.54,2.35,3.24,2.2,2.63,4.57,1.6,2.92,2.49,3.8,5.02,6.68,4.67,0.87,4.42,1.13,4.84,5.21,2.27,2.5,4.34,2.57,9.03,2.14,5.31,5.14,4.58,2.08,2.9,3.53,1.88,3.14,6.61,4.75,4.24,3.78,1.93,1.48,3.96,2.15,4.29,6.66,5.1
August,,,,,,,,,6.47,6.05,2.51,6.5,3.04,2.73,2.33,1.83,3.2,1.5,5.99,5.76,5.59,8.32,5.19,3.06,4.64,5.21,2.89,7.16,6.48,1.98,6.98,3.07,3.68,6.63,5.35,5.35,5.21,4.52,3.87,3.31,6.63,2.47,7.23,2.5,3.56,6.43,2.74,7.75,3.57,4.17,2.91,7.11,4.59,5.98,6.93,3.55,5.9,8.01,5.63,6.7,7.47,5.23,1.38,1.62,3.19,1.56,2.58,2.68,3.94,3.61,1.56
September,,,,,,,,,5.26,3.33,5.25,2.52,2.91,5.61,3.03,7.59,5.41,5.48,1.74,3.46,2.39,3.8,4.81,4.75,0.47,2.29,9.25,4.74,1.35,7.79,1.74,1.28,2.11,5.43,1.61,2.92,1.58,1.14,4.09,3.08,0.25,4.18,1.75,1.64,3.88,0.94,2.54,2.51,13.33,2.12,3.07,1.39,4.1,5.02,4.79,3.78,3.54,5.53,0.67,2.35,3.63,3.31,5.38,1.32,3.64,6.75,5.02,1.59,1.43,1.52,4.26
October,,,,,,,,,4.24,3.07,5.5,3.76,3.38,5.71,2.97,7.35,7.14,2.41,2.44,4.13,3.84,6.42,6.55,4.18,4.77,4.6,4.57,2.85,4.66,4.16,6.65,3.26,4.68,9.29,2.3,4.05,8.13,5.56,1.82,6.76,4.06,3.39,5.33,2.32,2.58,2.17,9.14,9.16,4.33,2.71,1.5,4.76,1.07,6.24,5.63,5.52,3.75,4.25,4.82,6.15,6.06,2.59,6.7,4.8,4.92,7.28,4.27,1.7,8.5,1.95,3.92
