LINCOLN MILL,,,,,,,,,,,,,,,,,,,,
Grid ref,SK970703,Long,-0.5479,Lat,53.221,Elevation,26,ft,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,2.2,0.94,0.59,2.44,1.79,1.13,2.04,1.43,,,
February,,,,,,,,,,1.91,0.39,2.12,2.38,1.89,1.3,1.2,1.99,,,
March,,,,,,,,,,2.27,1.2,1.08,1.62,1.36,0.77,0.57,2.51,,,
April,,,,,,,,,,2.21,0.48,3.1,3.22,0.82,1.19,0.57,2.36,,,
May,,,,,,,,,,4.35,0.82,1.36,0.99,2.2,1.3,0.98,0.8,,,
June,,,,,,,,,,1.6,1.75,3,3.44,1.37,0.79,2.34,2.37,,,
July,,,,,,,,,,0.64,0.9,3.18,5.61,1.77,0.46,3.6,1.3,,,
August,,,,,,,,,,1.87,1.19,1.17,2.66,3.66,1.97,1.79,1.89,,,
September,,,,,,,,,,3.3,1,4.47,2.89,1.75,1.72,1.57,3.11,,,
October,,,,,,,,,,0.68,3.92,1.09,3.75,2.33,1.3,3.97,2.02,,,
November,,,,,,,,,,1.13,1.56,1.25,3.14,1.49,2.29,4.3,2.92,,,
December,,,,,,,,,,2.9,2.14,1.11,3,0.14,2.14,0.92,4.78,,,
Total,,,,,,,,,,25.06,16.29,23.52,35.14,20.57,16.36,23.85,27.48,,,
,,,,,,,,,,,,,,,,,,,,
1877-1879 removed as crossed out on sheets,,,,,,,,,,,,,,,,,,,,
"Note: No absolute location information given on sheets, so Grid Ref centred on street where the observer (J Norton) was manager of mill.",,,,,,,,,,,,,,,,,,,,
