CARDIFF-WW-STOREY-ARMS-FIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN986200,Long,-3.4741623,Lat,51.869328,Elevation,1430,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4157/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,16.95,8.91,14.02,2.67,10.78,15.54,16.25,13.84,4.87,7.09,9.86,15.1,11.55,7.56,15.03,7.87,18.39,4.62,4.14,11.86,8.92,2.59,4.59,6.51,10.51,16.65,9.59,11.71,12.69
February,,0.4,12.45,0.95,11.37,4.14,13.37,4.68,9.02,8.06,10.07,1.16,5.87,3.05,12.48,8.92,3.22,6.33,4.55,15.82,8.89,2.09,4.29,8.43,3.1,0.76,10.16,13.33,0.96,10.81
March,,5.1,8.33,6.9,2.31,5.84,6.96,1.43,4.28,9.31,6.9,6.37,1.65,0.7,5.36,4.11,13.52,4.89,3.47,5.97,8.47,7.39,7.93,6.15,5.16,3.96,10.39,2.65,10.53,4.19
April,,8.52,3.24,5.99,11.92,5.11,6.02,0.34,6.43,5.96,2.24,4.14,3.52,5.22,5.92,3.3,8.28,4.63,9.06,6.77,7.98,5.75,6.52,1.97,5.34,2.29,0.67,2.58,10.89,7.83
May,,9.83,2.32,5.62,2.56,2.46,3.18,7.58,1.22,2.56,5.35,10.58,8.78,3.6,6.99,5.54,3.56,4.68,7.31,3.36,4.56,7.32,5.93,5.36,8.95,2.56,4.64,7.74,2.82,2.81
June,9.33,3.39,4.32,3.46,9.83,5.46,4.48,7.15,7.37,1.14,1.83,0.64,7.67,6.13,9.69,11.3,4.01,8.07,0.99,4.9,3.91,6.01,3.03,7.13,9.81,5.13,2.09,5.37,3.94,4.64
July,8.99,8.64,7.13,2.85,1.84,13.59,5.62,6.15,16.8,5.9,5.46,8.48,6.44,6.65,6.28,4.36,4.89,3.52,2.57,9.32,2.56,3.25,10.24,6.88,1.37,8.22,9.16,7.2,8.04,9.95
August,7.85,4.48,2.02,7.32,3.05,2.74,1.94,6.74,6.11,1.13,9.18,9.67,9.56,4.7,5.94,12.52,0.79,9.08,4.24,12.07,13.89,11.69,6.55,10.27,2.66,9.94,8.1,6.64,2.05,5.6
September,3.63,8.39,2.86,8.3,11.69,6.88,3.84,3.51,1.6,5.13,1.22,7.18,8.51,10.27,8.78,13.75,4.47,9.66,3.24,13.66,7.8,5.42,8.29,10.94,4.28,9.17,13.82,15.22,0.95,7.9
October,3.12,15.15,11.38,10.11,12.06,5.95,5.63,16.88,6.14,11.25,12.72,7.78,8.16,11.3,10.68,1.76,1.9,5.73,12.85,5.29,2.49,8.01,4.27,18.57,4.41,4.03,9.7,9.55,11.13,12.83
November,18.6,7.69,2.14,5.69,12.03,8.7,4.44,14.32,18.07,18.45,6.95,1.9,6.51,15.57,1.12,18.77,10.78,5.31,9.61,11.31,16.43,5.95,7.98,15.36,6.02,2.72,5.11,4.83,14.91,20.42
December,5.82,6.73,2.91,21.8,6.78,15.71,6.8,8.75,6.15,6.52,8.66,14.18,4.45,8.34,12.55,9.01,7.27,16.01,11.35,5.22,11.28,7.67,2.33,9.89,12.22,11.25,9.74,8.83,23.03,13.12
Total,,95.27,68.01,93.01,88.11,87.36,77.82,93.78,97.03,80.28,77.67,81.94,86.22,87.08,93.35,108.37,70.56,96.3,73.86,97.83,100.12,79.47,69.95,105.54,69.83,70.54,100.23,93.53,100.96,112.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is near Storey Arms. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 1940 corrected for snow; left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
