"CARDIFF WW (STOREY ARMS FIELD)",,,,,,,,,,,,
Grid ref,SN986200,Long,-3.474162,Lat,51.869328,,,,,,,
Station no,4157/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.86,8.92,2.59,4.59,6.51,10.51,16.65,9.59,11.71,12.69,,
February,8.89,2.09,4.29,8.43,3.10,0.76,10.16,13.33,0.96,10.81,,
March,8.47,7.39,7.93,6.15,5.16,3.96,10.39,2.65,10.53,4.19,,
April,7.98,5.75,6.52,1.97,5.34,2.29,0.67,2.58,10.89,7.83,,
May,4.56,7.32,5.93,5.36,8.95,2.56,4.64,7.74,2.82,2.81,,
June,3.91,6.01,3.03,7.13,9.81,5.13,2.09,5.37,3.94,4.64,,
July,2.56,3.25,10.24,6.88,1.37,8.22,9.16,7.20,8.04,9.95,,
August,13.89,11.69,6.55,10.27,2.66,9.94,8.10,6.64,2.05,5.60,,
September,7.80,5.42,8.29,10.94,4.28,9.17,13.82,15.22,0.95,7.90,,
October,2.49,8.01,4.27,18.57,4.41,4.03,9.70,9.55,11.13,12.83,,
November,16.43,5.95,7.98,15.36,6.02,2.72,5.11,4.83,14.91,20.42,,
December,11.28,7.67,2.33,9.89,12.22,11.25,9.74,8.83,23.03,13.12,,
Total,100.12,79.47,69.95,105.54,69.83,70.54,100.23,93.53,100.96,112.79,,
Calc annual,100.12,79.47,69.95,105.54,69.83,70.54,100.23,93.53,100.96,112.79,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
