"DERBY (PARK GROVE)",,,,,,,,,,,,
Grid ref,SK345374,Long,-1.488176,Lat,52.932899,,,,,,,
Station no,2658,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.32,2.53,1.06,1.08,2.35,3.43,1.52,2.61,2.99,4.60,,
February,2.67,0.75,1.89,2.03,1.87,0.88,2.24,4.51,0.21,1.80,,
March,3.93,2.72,1.19,1.98,2.59,1.29,2.12,1.76,1.55,1.70,,
April,1.62,1.67,2.49,0.29,1.32,1.67,0.21,0.66,2.43,1.30,,
May,2.62,2.91,1.84,2.95,3.02,0.62,0.80,2.59,0.37,1.20,,
June,1.77,2.35,2.18,3.11,3.82,2.54,1.29,4.77,0.74,2.20,,
July,0.87,1.35,2.70,2.27,0.96,2.80,3.05,4.84,1.83,3.30,,
August,5.13,1.83,2.49,4.79,0.38,4.61,2.48,2.48,1.17,4.60,,
September,1.67,1.54,1.44,2.97,0.79,2.72,5.78,2.79,0.07,4.70,,
October,0.55,3.02,2.08,2.95,1.57,1.21,1.31,2.60,2.11,4.90,,
November,5.92,1.66,1.74,4.04,1.87,0.88,2.03,1.30,2.62,3.10,,
December,2.04,2.58,1.04,3.10,2.06,3.24,2.05,3.26,3.36,3.10,,
Total,31.11,24.91,22.14,31.56,22.60,25.89,24.88,34.17,19.45,36.50,,
Calc annual,31.11,24.91,22.14,31.56,22.60,25.89,24.88,34.17,19.45,36.50,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
