DERBY (PARK GROVE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK345374,Long,-1.488176,Lat,52.932899,Elevation,198,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.08,2.31,2.08,2.58,0.82,3.28,3.25,3.46,5.2,3.07,3.34,3.05,4.17,3.16,2.35,2.91,2.28,5.58,0.98,0.84,2.32,2.53,1.06,1.08,2.35,3.43,1.52,2.61,2.99,4.6
February,3.28,0.53,3.2,0.48,2.46,1.83,4.34,0.96,1.27,3.34,2.46,1.04,0.76,2.38,2.82,3.78,2.43,1.65,0.65,4.65,2.67,0.75,1.89,2.03,1.87,0.88,2.24,4.51,0.21,1.8
March,0.39,1.89,2.58,1.8,0.77,1.91,2.42,0.37,1.73,2.32,2.83,2.01,1.08,0.21,0.77,0.88,5.69,0.73,1.68,1.01,3.93,2.72,1.19,1.98,2.59,1.29,2.12,1.76,1.55,1.7
April,4.4,2.96,1.45,2.02,3.3,1.94,2.24,0.13,2.08,1.84,1.62,0.99,0.88,2.27,1.97,1.08,2.06,1.94,2.42,2.39,1.62,1.67,2.49,0.29,1.32,1.67,0.21,0.66,2.43,1.3
May,2.94,7.14,2,0.95,0.48,0.37,2.23,1.96,1.02,1.24,2.5,3.59,3.32,1.31,2.39,1.31,1.72,1.28,2.07,1.68,2.62,2.91,1.84,2.95,3.02,0.62,0.8,2.59,0.37,1.2
June,4.1,1.01,1.92,0.82,3.38,3.26,0.95,1.58,1.17,0.78,0.81,0.28,1.9,1.83,3.02,2.94,1.33,2.6,0.38,1.68,1.77,2.35,2.18,3.11,3.82,2.54,1.29,4.77,0.74,2.2
July,3.84,3.52,2.38,1.28,0.48,4.12,2.65,4.15,4.64,2.53,4.04,2.24,1.32,2.8,2.43,1.32,2.95,1,3.13,2.27,0.87,1.35,2.7,2.27,0.96,2.8,3.05,4.84,1.83,3.3
August,5.82,1.9,0.79,2.56,2.02,1.19,0.33,1.51,2.16,0.35,4.21,2.16,2.86,2.77,2.57,3.8,0.52,4.62,1.85,3.64,5.13,1.83,2.49,4.79,0.38,4.61,2.48,2.48,1.17,4.6
September,3.71,2.01,1.69,2.17,4.19,3.56,1.43,3.61,1.15,0.65,0.4,1.13,2.37,3.98,2.45,3.43,1.63,1.99,1.67,5,1.67,1.54,1.44,2.97,0.79,2.72,5.78,2.79,0.07,4.7
October,0.84,3.66,5.34,1.73,4,1.74,1.96,2.56,3.06,4.04,2.77,2.27,1.89,2.75,3.8,1.03,0.29,1.97,4.1,1.2,0.55,3.02,2.08,2.95,1.57,1.21,1.31,2.6,2.11,4.9
November,3.65,2.24,1.19,2.12,5.03,2.31,1.67,2.99,4.04,6.32,2.94,1.24,2.24,4.72,0.33,5.13,2.1,1.78,3.16,3.94,5.92,1.66,1.74,4.04,1.87,0.88,2.03,1.3,2.62,3.1
December,1.43,0.82,0.44,4.71,4.02,2.35,2.95,3.89,2.13,2.17,1.07,2.23,1.02,1.57,1.97,2.34,2.68,3.79,2.32,1.74,2.04,2.58,1.04,3.1,2.06,3.24,2.05,3.26,3.36,3.1
Total,36.48,29.99,25.06,23.22,30.95,27.86,26.42,27.17,29.65,28.65,28.99,22.23,23.81,29.75,26.87,29.95,25.68,28.93,24.41,30.04,31.11,24.91,22.14,31.56,22.6,25.89,24.88,34.17,19.45,36.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Aug 1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
