CHESTER-ROWTON-GRANGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ443648,Long,-2.8348351,Lat,53.177374,Elevation,105,ft.,,,,,,,,,,,,
Station no,RR7266,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,3.56,2.5,2.36,2.86,3.21,1,0.53,2.76,1.16,2.9,1.75,,,,,,
February,,,,1.91,2.16,2.43,0.83,1.25,0.93,2.42,0.5,0.05,1.45,2.08,,,,,,
March,,,,1.09,2.48,1.61,1.9,1.16,1.92,2.22,1.16,0.77,1.11,0.76,,,,,,
April,,,,0.87,1.17,1.93,1.47,0.81,0.97,2.83,1.17,1.65,1.28,0.51,,,,,,
May,,,,0.98,1.16,1.78,6.41,1.74,0.55,1.64,1.85,2.84,2.83,1.17,,,,,,
June,,,,2.74,2.16,2.48,2.33,1.41,2.03,0.49,1.74,5.81,3.02,1.5,,,,,,
July,,,,2.09,3.09,1.19,2.42,2.03,5.42,3.24,2.69,2.55,3.25,2.41,,,,,,
August,,,,1.76,1.27,1.54,1.03,1.74,3.27,3.14,3.45,4.12,3.58,2.56,,,,,,
September,,,,5.64,1.75,2.99,3.29,2.7,1.15,2.44,1.25,3.15,2.4,1.83,,,,,,
October,,,,3.24,1.11,5.44,4,2.15,0.95,2.78,2.28,2.76,6.62,1.68,,,,,,
November,,,,2.57,2.29,2.88,2.64,0.95,3.46,2.08,5.68,2.34,1.66,0.9,,,,,,
December,,,,1.08,2.04,0.92,3.71,1.87,1.66,2.2,0.65,2.82,2.93,3.26,,,,,,
Total,,,,27.53,23.18,27.55,32.89,21.02,23.31,26.01,25.18,30.02,33.03,20.41,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Rowton Grange. Stated altitude, 164 ft, is 60 ft too high and is too high for the area; OS figure used",,,,,,,,,,,,,,,,,,,,
