URCHIN-CLOUGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK101908,Long,-1.8495144,Lat,53.413913,Elevation,1190,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2695/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,7.67,7.26,8.6,,,,7.77,9.04,6.83,7.62,4.19,13.72,3.82,4.53,7.34,5.96,3.47,5.72,,8.37,3.74,5.62,5.36,7.84
February,,,,,,,9.93,2.57,5.47,,7.8,,5.1,3.96,6.83,10.23,3,4.63,2.88,7.73,6.22,3.86,,3.84,2.44,1.84,4.63,7.64,0.77,4.36
March,,,,,,,5.84,2.79,4.6,4.09,,,1.83,1.68,2.14,2.47,8.61,1.86,2.61,2.93,8.23,3.46,4.36,3.52,,2.42,4.96,3.24,2.93,1.93
April,,,,,,,5.89,0.95,4.09,,3.26,2.32,3.15,3.51,2.83,1.84,4.33,2.44,5.47,5.86,3.18,4.47,4.15,1.04,2.83,2.28,0.91,1.62,3.75,3.32
May,,,,,,,3.19,4.46,3.39,1.17,,4.13,3.87,6.42,3.89,1.99,4.06,1.82,2.77,1.88,2.93,3.84,2.58,4.56,5.54,1.26,1.81,5.17,1.12,2.25
June,,,,,,,2.74,6.4,3.67,,,1.09,4.32,4.48,4.57,5.09,2.67,6.54,1.28,3.11,2.05,3.76,4.46,4.04,4.74,5.17,2.08,6.11,2.73,1.73
July,,,,,,,4.98,7.28,9.04,6.6,4.8,8.15,2.42,4.87,2.29,6.37,2.52,3.06,2.88,4.38,4.36,4.13,7.76,8.87,0.96,8.86,6.09,6.37,4.67,10.11
August,,,,,,,1.54,2.94,2.86,2.94,10.26,4.73,7.85,4.26,3.81,5.84,0.6,5.98,3.26,4.87,7.62,3.09,5.73,8.63,0.74,12.97,9.63,4.39,0.57,6.64
September,,,,,,,2.08,3.32,2.52,,0.81,,5.72,7.77,3.03,8.27,2.12,3.26,2.39,8.22,3.72,6.47,3.47,6.59,3.62,5.38,11.22,7.59,,5.76
October,,,,,,,2.96,11,4.17,4.96,8.04,,3.46,7.16,8.17,1.35,1.26,3.64,5.43,2.78,1.64,7.24,2.44,9.05,3.65,3.78,5.64,5.57,4.94,7.92
November,,,,,,,2.54,7.56,9.76,9.37,4.26,1.75,6.04,9.14,0.78,9.47,7.15,3.37,8.43,9.12,12.33,4.38,4.63,9.12,3.26,2.52,3.29,2.37,6.22,7.96
December,,,,,,,4.72,6.65,4.91,7.08,5.55,,3.02,5.03,4.33,5.96,6.24,4.36,9.23,2.83,8.46,5.64,2.96,9.13,6.27,7.25,7.46,5.72,8.91,5.27
Total,,,,,,,54.08,63.18,63.08,,,,54.55,67.32,49.5,66.5,46.75,54.68,50.45,58.24,68.08,56.3,,74.11,,62.1,61.46,61.41,,65.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS scr_id 3251 URCHIN CLOUGH Start 1937 end 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is near Urchin Clough. Stated altitude is 100 ft. too low or the gauge is 100m S to match altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
