REIGATE-LAGLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ263513,Long,-0.19134,Lat,51.24694,Elevation,375,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,0.94,2.69,5.14,1.4,5.84,1.2,1.86,1.34,2.69,1.75,3.1,4.65,0.91,4.09,1.65,1.63,3.64,4.12,3.64,2.66,3.84,1.82,,,,,,,
February,,,1.26,1.98,3.55,1.04,2.87,1.77,1.21,0.6,4.56,1.77,2.52,1.27,4.96,5.16,5.24,1.21,1.63,2.9,0.71,0.18,2.6,4.26,,,,,,,
March,,,2,3.53,1.72,4.03,1.8,1.1,3.22,3.77,1.28,2.1,4.59,3,5.29,0.8,4.69,2.15,1.24,4.49,2.03,1.61,2.51,2.08,,,,,,,
April,,,0.9,2.14,1.81,1.66,0.59,4.18,2.84,2.05,1.87,2.03,0.03,3.47,1.15,1.47,1.37,2.89,4.14,3.24,3.43,1.25,3.59,2.34,,,,,,,
May,,,2.65,3.07,2.79,0.7,1.78,2.56,2.39,1.85,2.53,2.71,1.43,2.07,1.35,3.01,3.16,1.75,1.54,0.19,1.08,1.59,0.96,3.1,,,,,,,
June,,,4.35,5.62,1.58,5.12,2.25,1.79,2.02,2.8,2.04,2.7,3.9,0.52,0.79,0.95,2.58,1.51,0.82,0.94,1.52,0.12,1.66,0.5,,,,,,,
July,,,1.9,4.11,0.97,0.67,0.59,1.81,3.18,4.32,3.21,0.47,1.51,3.78,2.46,4.29,1.12,4.76,5.22,2.35,5.2,0.24,3.44,4,,,,,,,
August,,,2.83,4.48,1.65,2.57,1.25,2.84,4.28,2.76,3.61,0.46,6.29,2.35,1.55,1.92,3.57,5.8,1.24,2.57,1.63,1.4,2.84,2.33,,,,,,,
September,,,1.07,3.08,1.48,2.7,1.84,0.5,1.58,3.43,0.91,1.43,3.34,1.98,1.16,2.76,1.85,2.1,5.72,1.27,3.38,1,2.04,1.92,,,,,,,
October,,,2.7,7.41,2.09,1.34,4.33,4.08,2.45,5.44,2.92,4.24,3.31,4.59,1.81,2.58,5.62,3.58,1.68,0.8,1.27,1.11,0.96,7.13,,,,,,,
November,,,2.54,2.83,1.56,4.82,5.35,2.75,1.07,1.03,3.89,5.05,2.79,2.95,4.53,3,6.47,1.69,2.54,2.09,2,1.62,2.17,2.1,,,,,,,
December,,,1.56,2.46,3.02,0.73,2.43,3.48,3.3,4.48,4.58,7.55,3.69,1.51,8.9,6.92,3.28,2.62,2.94,4.98,3.02,1.97,4.6,3.25,,,,,,,
Total,,,24.7,43.4,27.36,26.78,30.92,28.06,29.4,33.87,34.09,32.26,36.5,32.14,34.86,36.95,40.6,31.69,32.35,29.94,28.91,14.75,31.21,34.83,,,,,,,
