STAINDROP RABY CASTLE GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ128222,Long,-1.803414,Lat,54.594825,Elevation,450,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,3.69,1.91,1.86,1.52,1.67,1.87,4.92,3.75,3.22,5.31,2,4.37,3.17,3.57,1.54,5.43,1.45,3.39,9.52,0.97,2.05,2.25,2.56,0.55,2.24,2.79,3.93,2.2,2.09,2.78,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,1.55,1.97,0.89,6.63,0.35,4,3.44,4.09,1.28,1.6,2.25,4.46,2.89,1.2,2.34,2.59,0.59,3.5,2.22,1.38,5.85,3.03,0.62,1.71,1.62,2.63,3.42,2.8,5.1,0.23,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,2.44,1.95,1.72,2,3.08,0.71,2.95,4.49,0.44,3.8,2.44,2.87,2.08,0.81,0.89,0.7,1.77,6.63,1.72,1.17,1.28,3.72,1.53,0.27,1.3,2.12,1.47,1.51,2.94,0.92,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,3.6,3.27,2,1.04,3.67,2.38,1.5,2.76,0.1,1.07,1.82,2.14,1.43,1.04,1.58,1.88,1.83,5.31,2.74,1.72,3.2,1.95,1.4,2.19,0.45,0.45,0.89,0.36,1.45,2.22,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,1.49,2.98,3.88,2.55,1.73,0.81,2.55,2.58,3.67,0.87,1.3,1.28,1.62,3.47,1.1,3.54,3.98,2.83,1.99,1.13,1.78,3.21,1.39,2.6,3.49,1.95,0.56,1.66,3.27,0.45,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,1.38,3.63,1.26,2.08,1.45,2.4,3.59,1.22,2.83,2.59,0.63,0.65,0.73,1.36,2.08,3.1,3,3.49,4.68,1.21,1.26,0.59,1,2.25,1.92,2.36,2.76,1.49,3.7,4.47,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,3.58,6.39,3.23,3,1.83,2.19,0.47,3.68,2.76,2.76,3.85,5.24,1.54,2.25,1.69,4.96,2.5,5.86,3.42,1.18,3.02,2.92,1.06,1.13,2.73,1.26,0.8,2.92,3.98,2.27,1.28,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.49,4.96,3.75,2.16,1.4,2.75,4.71,1.95,1.57,2.37,4.28,0.4,1.35,2.2,3.77,1.64,4.21,5.29,0.33,5.87,2.86,4.43,3.93,2,4.3,5.73,0.88,7.7,3.53,2.87,0.41,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.11,3.55,2.69,2.56,1.79,1.6,6.07,4.76,1.64,1.66,1.75,1.43,0.25,2.88,3.09,6.95,2.12,6.46,2.37,3.9,2.18,3.95,1.42,3.71,1.74,2.6,0.98,2.92,4.41,3.21,1.19,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,2.1,2.24,1.01,3.99,3.07,3.79,4.11,1.86,2.28,5.03,5.73,3.57,3.57,1.91,2.81,2.93,5.87,1.52,0.82,1.93,4.73,1.15,1.25,3.18,1.92,4.7,2.13,1.46,2.15,1.8,1.46,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,3.09,3.18,2.87,1.36,2.81,2.15,5.05,3.37,1.69,2.68,2.99,3.86,3.39,1.11,2.49,5.68,1.51,7.2,2.77,2.08,5.18,5.41,7.64,2.86,1.55,4.9,1.79,0.76,1.74,0.49,3.38,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,5.08,2.62,1.23,1.08,1.07,4.43,1.93,2.17,4.47,5.09,1,2.13,0.43,2.68,1.5,2.1,1.85,3.44,2.74,3.28,4.93,2.11,3.03,2.16,0.92,2.53,3.89,3.35,2.65,4.38,3.47,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,37.09,30.49,25.76,27.79,28.86,34.51,36.74,33.3,31.13,34.84,27.07,26.3,24.95,26.8,33.79,35.3,42.39,37.6,41.11,30.48,35.39,33.08,23.54,22.73,32.74,22.77,32.14,28.48,33.57,22.26,33.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1958 total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
