STAINDROP RABY CASTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ128221,Long,-1.803418,Lat,54.593926,Elevation,460,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,0.72,4.41,2.26,0.43,0.35,1.11,1.39,3.29,4.33,2.3,4.35,2.42,0.99,0.7,1.08,1.54,1.5,1.54,2.69,-999,1.2,2.14,,,,,0.86,2.83,1.68,,3.45,1.1,1.71,1.53,3.75,1.73,3.58,4.58,1.82,,,,,,,,,,,,,,,,3.98,1.98,1.88,1.62,1.68,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,2.55,1.39,1.19,3.67,2.37,3.32,1.3,2.29,1.51,1.38,1.04,0.45,0.19,1.24,0.56,0,2.62,2.42,6.64,-999,0.95,3.21,,,,,2.03,1.94,2.7,,1.54,1.62,2.33,1.43,2.91,1.54,2.09,1.36,2.29,,,,,,,,,,,,,,,,1.61,2.05,0.94,6.67,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,4.18,3.62,0.74,1.5,1,3.24,2.22,2.95,1.75,2.16,2.56,2.04,5.21,2.3,0.88,2.33,1.07,2.59,1.54,3.66,2.89,6.41,,,,,1.21,2.65,2.25,,1.93,1.17,4.75,4.61,0.8,2.41,2.52,4.12,2.33,,,,,,,,,,,,,,,,2.45,1.98,1.73,2,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,2.77,4.33,1.7,2.57,1.83,1.4,3.55,1.85,2.23,1.67,1.91,0.71,1.68,3.46,1.15,3.49,1.52,0.26,2.23,3.42,1.39,2.64,,,,,1.58,1.29,1.53,,0.78,2.06,3.08,2.89,2.64,1.29,0.15,3.51,0.71,,,,,,,,,,,,,,,,3.71,3.35,2.04,1.01,3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,0.75,2.32,5.25,1.61,1.6,1.16,1.89,1.66,0.61,2.97,3.74,1.96,0.84,1.92,2.34,1.55,2.69,2.47,3.5,1.11,0.81,3.03,,,,,2.74,3.87,2.98,,3.66,3.2,3.22,1.75,2.2,1,2.62,3.8,1.56,,,,,,,,,,,,,,,,1.55,3.11,3.95,2.51,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,2.27,1.56,2.77,3.89,2.83,1.67,4.31,3.07,0.48,1.65,1.04,0.57,2.01,0.22,3.16,1.51,4.05,1.2,3.93,1.78,3.91,6.51,,,,,1.42,2.33,2.31,,0.77,4.24,1.07,1.86,3.04,3.48,5.51,2.45,4.16,,,,,,,,,,,,,,,,1.41,3.75,1.26,2.08,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,1.65,3.9,0.5,3.64,5.35,2.91,3.26,3.25,5.99,0.44,3.62,1.23,6.21,3,2.26,3.81,2.21,3.81,3.03,7.45,3.58,3.07,,,,,3.99,3.81,1.95,,0.56,2.66,2.43,3.21,3.97,0.37,3.76,1.36,2.69,,,,,,,,,,,,,,,3.67,6.38,3.32,3.46,1.82,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,2.43,6.09,3.58,3.33,2.06,5.32,2.67,1.39,0.92,1.65,1.19,1.42,1.95,3.53,5.7,3.97,4.39,3.28,2.5,2.39,1.46,6.61,,,,,2.21,2.25,2.95,,3.14,1.5,1.64,2.73,4.26,1.89,6.29,1.35,2.06,,,,,,,,,,,,,,,2.72,5,3.77,2.17,1.38,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,3.44,2.62,2.02,1.76,4.51,4.97,2.67,4.12,1.58,2.01,1.73,2.69,0.87,0.64,1.6,1.76,3.25,1.77,0.67,0.85,4.52,5.31,,,,,0.77,2.75,1.6,,0.72,0.41,3.34,2.54,0.32,1.98,2.71,3.81,1.76,,,,,,,,,,,,,,,1.15,3.59,2.71,2.57,1.78,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,1.92,3.1,1.43,0.81,5.27,4.45,3.11,2.54,1.63,4.66,5.55,1.95,0.52,4.63,1.57,3.86,6.05,1.45,5.51,5.19,6.79,4.02,,,,,2.77,8.44,1.17,,3.86,5.37,2.62,2.38,2.35,3.06,2.36,3.12,2.69,,,,,,,,,,,,,,,2.29,2.27,1.03,4,3.08,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
