"STAINDROP (RABY CASTLE)",,,,,,,,,,,,
Grid ref,NZ128222,Long,-1.803414,Lat,54.594825,,,,,,,
Station no,3517,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.25,2.56,0.55,2.24,2.79,3.93,2.20,2.09,2.78,4.26,,
February,3.03,0.62,1.71,1.62,2.63,3.42,2.80,5.10,0.23,2.81,,
March,3.72,1.53,0.27,1.30,2.12,1.47,1.51,2.94,0.92,2.72,,
April,1.95,1.40,2.19,0.45,0.45,0.89,0.36,1.45,2.22,1.26,,
May,3.21,1.39,2.60,3.49,1.95,0.56,1.66,3.27,0.45,2.02,,
June,0.59,1.00,2.25,1.92,2.36,2.76,1.49,3.70,4.47,0.56,,
July,1.06,1.13,2.73,1.26,0.80,2.92,3.98,2.27,1.28,4.02,,
August,3.93,2.00,4.30,5.73,0.88,7.70,3.53,2.87,0.41,1.52,,
September,1.42,3.71,1.74,2.60,0.98,2.92,4.41,3.21,1.19,2.58,,
October,1.25,3.18,1.92,4.70,2.13,1.46,2.15,1.80,1.46,5.60,,
November,7.64,2.86,1.55,4.90,1.79,0.76,1.74,0.49,3.38,3.57,,
December,3.03,2.16,0.92,2.53,3.89,3.35,2.65,4.38,3.47,2.95,,
Total,33.08,23.54,22.73,32.74,22.77,32.14,28.48,33.54,22.26,33.87,,
Calc annual,33.08,23.54,22.73,32.74,22.77,32.14,28.48,33.57,22.26,33.87,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,0.00,-0.00,,
