"DALRY (CAAF RESERVOIR)",,,,,,,,,,,,
Grid ref,NS255499,Long,-4.779112,Lat,55.711034,,,,,,,
Station no,5246/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,5.85,2.09,4.11,,
February,,,,,,,,4.34,2.28,4.37,,
March,,,,,,,,1.54,3.37,2.35,,
April,,,,,,,,2.16,3.58,5.28,,
May,,,,,,,,3.74,2.04,3.06,,
June,,,,,,,,3.31,3.87,3.83,,
July,,,,,,,,5.81,6.59,5.76,,
August,,,,,,,,5.76,1.13,5.39,,
September,,,,,,,,4.99,2.08,4.27,,
October,,,,,,,,4.80,7.20,3.20,,
November,,,,,,,,3.01,5.52,7.07,,
December,,,,,,,5.00,6.67,8.87,6.47,,
Total,,,,,,,,51.98,48.62,55.16,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,5.00,51.98,48.62,55.16,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
