"DALRY CAAF RESERVOIR",,,,,,,,,,,,
Grid ref,NS253498,Long,-4.782227,Lat,55.710065,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,5.00,6.12,7.05,,
February,,,,,,,,3.75,5.12,3.95,,
March,,,,,,,,6.50,3.95,2.40,,
April,,,,,,,,4.00,1.50,5.20,,
May,,,,,,,,5.00,3.60,2.90,,
June,,,,,,,,7.25,3.75,3.20,,
July,,,,,,,,3.62,6.25,7.35,,
August,,,,,,,,7.00,3.50,4.90,,
September,,,,,,,,2.10,9.75,2.75,,
October,,,,,,,,9.50,1.98,10.20,,
November,,,,,,,,7.12,5.40,4.80,,
December,,,,,,,,7.00,6.30,6.85,,
Total,,,,,,,,67.84,57.22,61.55,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.84,57.22,61.55,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
