HENBURY (THE RIDGEWAY),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2192/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,,,2.23,5.21,0.99,0.76,,
February,,,,,,,1.59,1.69,1.03,5.61,,
March,,,,,,,6.66,1.77,1.33,1.65,,
April,,,,,,,2.71,2.19,2.16,2.01,,
May,,,,,,,3.17,4.41,4.01,2.24,,
June,,,,,,,1.64,2.21,0.52,2.14,,
July,,,,,,,3.36,1.00,1.70,4.39,,
August,,,,,,,1.06,3.65,2.00,5.88,,
September,,,,,,,1.60,2.50,3.05,4.66,,
October,,,,,,,0.50,3.77,6.66,1.50,,
November,,,,,,,3.20,1.70,3.31,5.84,,
December,,,,,,,2.20,4.21,2.48,1.86,,
Total,,,,,,,29.92,34.31,29.24,38.54,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,29.92,34.31,29.24,38.54,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
