HENBURY (THE RIDGEWAY),,,,,,,,,,,,
Grid ref,ST573785,Long,-2.616589,Lat,51.503811,,,,,,,
Station no,2192/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.67,2.50,0.83,2.38,3.58,3.83,3.41,2.84,3.39,,,
February,3.97,0.63,1.66,3.50,1.77,0.24,3.50,3.58,0.29,,,
March,3.51,2.50,1.24,3.66,1.37,0.71,2.98,1.29,2.43,,,
April,3.21,1.94,3.74,0.83,1.07,2.17,0.12,1.06,2.71,,,
May,3.05,4.01,2.00,2.10,3.98,0.53,1.52,3.47,0.88,,,
June,0.73,2.58,1.50,3.22,2.74,2.31,1.42,3.70,1.98,,,
July,1.15,0.86,3.33,3.52,0.12,2.66,3.39,2.35,2.78,,,
August,4.53,4.33,5.34,3.43,0.86,5.59,2.66,3.52,2.20,,,
September,2.60,3.17,3.13,4.86,1.08,3.05,3.94,6.71,0.14,,,
October,0.74,4.72,2.41,3.84,1.72,1.33,3.31,2.86,3.59,,,
November,7.16,4.55,2.14,6.37,3.65,0.90,2.57,2.40,3.76,,,
December,2.52,1.92,1.20,2.39,3.23,3.90,2.30,3.33,6.69,,,
Total,36.84,33.71,28.52,40.10,25.17,27.22,31.12,37.11,30.84,,,
Calc annual,36.84,33.71,28.52,40.10,25.17,27.22,31.12,37.11,30.84,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
