HAYFIELD-LEYGATEHEAD-MOOR-NEW-SITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK054894,Long,-1.9202476,Lat,53.401397,Elevation,1530,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/9/7/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.44,5.2,4.72,4.65,8.87,,,,5.03,7.3,,6.05,,10.67,3.44,4,,4.75,2.15,,,,,,5.15,9.1
February,,,,,8,3.7,6.22,1.8,3.32,,,,3.22,3.39,6.2,7.27,2.29,4.27,2.23,5.83,4.22,3.95,3.25,4.38,3.25,2.65,3.8,,,5.4
March,,,,,2.43,3.77,4.72,2.58,2.72,3.68,,,1.55,1.13,,2.2,,1,2.37,1.9,5.45,2.6,3.5,3.6,4.3,,3.6,2.75,2.35,1.7
April,,,,,4.12,1.91,4.8,0.5,3.75,,2,1.5,2.77,2.93,2.57,1.98,3.15,1.95,3.67,3.87,2.4,3.75,2.75,0.65,,,,1.1,,
May,,,,,0.54,1.03,2.8,4,2.8,0.7,3.1,4.12,2.63,7.36,3.61,1.71,3.61,1.8,3,1.2,1.9,2.95,2.3,2.6,,,,,0.55,
June,,,,,3.92,3.55,2.28,4.2,2.61,1.31,2.4,1.42,4.11,3.8,4.18,4.5,2.62,,,3.1,1.5,2.95,2.8,3.15,3.3,,,5.95,1.17,
July,,,,,1.92,6.6,4.85,5.9,7.73,,3.53,5.46,2.84,,2.11,6.21,,2.56,,3.6,4.45,4.1,6.4,,,,,,,7.5
August,,,,,1.65,2.77,1.18,3.21,2.18,,6.81,3.64,6.29,4.17,3.59,5.26,0.45,5.78,3.3,4.3,6.6,2.8,,6.25,0.68,,,4.2,0.48,6.8
September,,,,,6.43,7.15,1.38,3.75,1.55,4,0.82,3.06,5.56,5.7,2.78,6.28,1.73,2.85,2.25,7.2,3,5.55,1.85,,2.5,,,,0.16,
October,,,,,9.37,5.21,2.15,6.88,3.62,4,6.01,7.65,3.08,5.1,7.55,1,,3.18,4.2,2.4,1.2,,,6.8,2.6,,5.2,,3.95,5.3
November,,,,,5.5,6.03,2,4.77,6.57,8.41,3.42,1.67,3.93,7.15,0.86,7.03,6.14,3.14,6.7,6.5,9.35,3.65,2.9,6.6,1.8,,,,6,6
December,,,,,7.2,4.64,4.66,,2.74,4.78,3.02,,2.2,3.22,3,4.57,5.95,,7.52,4.3,7.12,4.8,1.8,,5.8,,5,3.45,7,5.2
Total,,,,,55.52,51.56,41.76,,48.46,,,,43.21,,,54.06,,,,48.2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is on Leygatehead Moor. Altitude match. Site is 280 yeards W of Old Site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
