GLENRIGH (UPPER),,,,,,,,,,
Grid ref,NN076647,Long,-5.14695,Lat,56.734151,Elevation,480,ft,,
Station no,5748/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,10.6,3.6,4.5
February,,,,,,,,4.3,6.8,8.03
March,,,,,,,,3.4,5.7,1.58
April,,,,,,,,6,7,7.34
May,,,,,,,,6.85,2.3,3.2
June,,,,,,,,2.4,6.6,4.8
July,,,,,,,,4,8.5,5.2
August,,,,,,,,5.8,8.9,5.51
September,,,,,,,,5.2,3.8,4.15
October,,,,,,,,11.5,9.75,1.6
November,,,,,,,,3.1,10.2,7.35
December,,,,,,,,7.1,12.5,10
Total,,,,,,,,70.25,85.65,63.26
,,,,,,,,,,
Station no,5748/5,,,,,,,,,
Midas,13996,,,,,,,,,
Hyd Stn,691569,,,,,,,,,
