GLENRIGH (UPPER),,,,,,,,,,,,
Grid ref,NN076647,Long,-5.146950,Lat,56.734151,,,,,,,
Station no,5748/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,10.60,3.60,4.50,,
February,,,,,,,,4.30,6.80,8.03,,
March,,,,,,,,3.40,5.70,1.58,,
April,,,,,,,,6.00,7.00,7.34,,
May,,,,,,,,6.85,2.30,3.20,,
June,,,,,,,,2.40,6.60,4.80,,
July,,,,,,,,4.00,8.50,5.20,,
August,,,,,,,,5.80,8.90,5.51,,
September,,,,,,,,5.20,3.80,4.15,,
October,,,,,,,,11.50,9.75,1.60,,
November,,,,,,,,3.10,10.20,7.35,,
December,,,,,,,,7.10,12.50,10.00,,
Total,,,,,,,,70.25,85.65,63.26,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.25,85.65,63.26,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
