HAMILTON (WOODLEA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS7178256305,Long,-4.04606,Lat,55.783,Elevation,192,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.03,5.72,3.06,7.12,3.97,5.15,1.86,4.35,3.49,6.04,3.81,2.5,0.72,5.24,3.84,4.03,3.25,4.64,3.24,6.4,4.09,2.49,4.05,4.39,1.38,,,,,,,
February,,,,,,,,,,1.65,0.19,3.38,0,2.66,0.5,3.92,1.81,3.6,1.58,4.95,1.12,3.02,1.59,3.93,1.37,4.87,3.11,0.65,4.05,4.99,4.17,2.67,1.13,1.11,,,,,,,
March,,,,,,,,,,0.59,1.95,1.03,1.96,2.13,2.53,1.79,2.2,0.92,3.06,3.99,3.54,2.69,1.69,2.74,0.68,2.48,2.28,2.82,2.98,1.41,3.39,2.39,2.16,0.87,,,,,,,
April,,,,,,,,,,1.7,1.15,1.83,3.27,1.44,3.01,2.89,1.16,1.37,0.33,1.54,2.57,1.36,1.51,2.34,2.28,1.74,1.46,5.68,2.99,2.93,3.75,2.73,2.09,2.11,,,,,,,
May,,,,,,,,,,2.41,2.23,3.21,2.4,2.06,2.26,0.76,1.04,1.38,3.38,0.78,0.93,4.4,2.39,3.58,1.83,3.53,1.22,3.62,1.25,1.57,1.4,1.69,1.63,1.64,,,,,,,
June,,,,,,,,,,2.2,2.42,5.01,1.03,1.86,2.52,4.05,1.37,2.11,3.43,2.45,0.81,0.58,1.26,2.97,2.61,3.4,2.66,2.8,5.59,1.15,1.98,2.45,2.4,1.01,,,,,,,
July,,,,,,,,,,2.66,3.58,3.95,2.75,3.48,1.76,1.09,4.7,2.66,3.11,2.98,4.61,3.06,2.38,2.25,3.47,2.63,3.19,2.03,2.71,1.62,3.94,2.01,2.16,3.86,,,,,,,
August,,,,,,,,,,4.85,4.79,2.77,0.71,2.31,4.08,1.88,1.83,3.91,2.5,2.05,1.43,3.94,3.28,4.43,3.94,1.55,2.05,0.04,5.66,3.54,4.57,5,3.5,2.7,,,,,,,
September,,,,,,,,,,1.15,3.18,1.11,4.45,0.93,3.74,4.3,3.77,2.27,2.98,1.28,3.73,1,4.36,2.22,4.95,4.63,6.28,3.67,5.5,1.11,7.76,2.91,2.43,2.58,,,,,,,
October,,,,,,,,,,4.55,5.12,3.15,4.82,2.82,5.62,7.86,3.63,3.3,8.47,1.92,2.94,2.89,4.22,6.35,4.25,4.97,0.47,1.5,3.26,4.76,3,0.95,2.68,1.87,,,,,,,
November,,,,,,,,,,6.04,5.08,6.07,3.25,1.37,0.8,4.83,3.68,0.67,6.81,7.05,4.44,2.23,0.63,2.19,7.39,0.4,4.09,5.2,2.25,3.4,2.87,5.3,2.49,5.78,,,,,,,
December,,,,,,,,,,8.01,2.71,3.61,8.4,0.59,3.66,2.05,5.27,1.96,2.52,2.1,4.08,2.27,4.1,1.75,4.27,2.74,3.44,2.29,5.09,6.72,2.01,5.6,3.19,4.44,,,,,,,
Total,,,,,,,,,,36.84,38.12,38.18,40.16,25.62,35.63,37.28,34.81,27.64,44.21,34.9,32.7,28.16,32.65,38.59,41.07,36.19,34.89,33.54,47.73,37.29,41.33,37.75,30.25,29.35,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,656410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
