"HAMILTON (WOODLEA)",,,,,,,,,,,,
Grid ref,NS718535,Long,-4.044457,Lat,55.757822,,,,,,,
Station no,5201,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.05,4.39,1.38,,,,,,,,,
February,2.67,1.13,1.11,,,,,,,,,
March,2.39,2.16,0.87,,,,,,,,,
April,2.73,2.09,2.11,,,,,,,,,
May,1.69,1.63,1.64,,,,,,,,,
June,2.45,2.40,1.01,,,,,,,,,
July,2.01,2.16,3.86,,,,,,,,,
August,5.00,3.50,2.70,,,,,,,,,
September,2.91,2.43,2.58,,,,,,,,,
October,0.95,2.68,1.87,,,,,,,,,
November,5.30,2.49,5.78,,,,,,,,,
December,5.60,3.19,4.44,,,,,,,,,
Total,37.75,30.25,29.35,,,,,,,,,
Calc annual,37.75,30.25,29.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
