DUNDEE SOMERVILLE PLACE,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 39643 31047,Long,-2.981218,Lat,56.467674,Elevation,230,ft,,,,,,,,,,,,
Station no,RR2981,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,,1.75,1.2,1.75,,1.35,4.7,2.33,2.28,2.5,,,,
February,,,,,,,,0.7,0.92,1.55,,1.6,2.25,0.5,2.6,2.7,,,,
March,,,,,,,,3.53,1.1,1.8,,2,3.26,1.35,2.8,1.6,,,,
April,,,,,,,,3.4,1.35,2.36,,0.75,1.57,1.6,1.07,0.86,,,,
May,,,,,,,,1.8,1.85,0.33,,1.02,3.95,1.55,2.07,2.3,,,,
June,,,,,,,,2.35,1.2,2.9,,2.03,4.26,3.2,2.2,0.6,,,,
July,,,,,,,2.65,1.75,3.65,2.4,,3.1,3.35,0.9,2.8,4.35,,,,
August,,,,,,,4.55,1.65,2.68,1.5,,4.9,1.85,5.55,0.95,3.15,,,,
September,,,,,,,5.12,4.1,2.5,1.9,,5.1,1.75,2.5,3.8,0.7,,,,
October,,,,,,,1.37,1.8,2.75,2.4,,2.03,2.75,2.52,5.9,6.3,,,,
November,,,,,,,2.2,2.2,2.35,2.9,,3.32,0.85,2.05,3.4,3.2,,,,
December,,,,,,,2.5,1.05,3.45,1.85,,1.7,2.55,1.9,4.1,2.33,,,,
Total,,,,,,,,26.08,25,23.64,32.66,28.9,33.09,25.95,33.97,30.59,,,,
