"DUBLIN, BOTANIC GARDENS, GLASNEVIN",,,,,,,,,,
Grid ref,IO1528837596,Long,-6.268195,Lat,53.376185,Elevation,65,ft,,
Station no,6121,,,,,,,,,
,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809
January,,,0.68,1.72,3.22,2.76,2.15,2.16,0.67,
February,,,1.14,1,0.5,0.83,1.12,1.5,1.5,
March,,,1.14,1.19,4.6,0.85,2.52,0.45,0.66,
April,,,0.86,1.7,1.71,1,1,0.57,1.28,
May,,,0.75,1.19,2.71,1.85,2.94,3.45,2.34,
June,,,1.63,1,1.45,0.87,0.9,1.35,1.67,
July,,,4.42,0.47,3,4.6,3.2,1.33,4.5,
August,,,2.76,2.45,3.26,2.26,1.29,1.83,1.84,
September,,,1.4,0.6,0.4,2.4,2.13,7.33,1.59,
October,,,3.24,3.22,3.1,2.86,1.67,3,2.04,
November,,,3.7,2.75,2.7,0.68,3.92,1.75,2.33,
December,,,5.25,4.68,3.61,2.37,2.22,1.78,2.77,
Total,,,26.97,21.97,30.26,23.33,25.06,26.5,23.19,
