Rainfall at,GLASNEVIN BOTANIC GARDENS
,
Station no,6121,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,4.66,2.68,2.38,1.89,3.40,2.47,3.99,2.13,2.52,1.32,3.50,
February,1.83,0.77,1.70,5.18,0.69,4.25,2.01,1.92,2.54,2.25,1.26,
March,2.13,2.33,1.24,1.31,0.72,0.74,0.88,3.24,4.21,0.26,4.21,
April,2.90,0.95,2.32,3.18,1.92,2.22,1.69,1.22,1.00,1.23,1.14,
May,2.91,1.88,0.67,2.13,3.25,5.48,2.59,0.81,1.72,1.35,2.30,
June,1.90,0.13,0.88,1.13,2.99,0.34,2.24,2.48,4.38,1.28,1.83,
July,5.36,4.42,2.63,2.66,4.26,2.69,2.45,3.34,1.32,2.22,3.02,
August,1.90,3.22,4.63,4.59,3.13,1.17,2.22,6.04,2.67,4.93,5.16,
September,1.14,1.38,2.67,2.13,5.02,2.16,1.46,3.44,0.71,0.37,5.88,
October,-999.00,2.10,0.95,2.39,1.88,2.44,3.48,2.97,2.64,2.59,3.49,
November,2.31,2.55,0.38,2.14,2.46,3.52,3.68,2.88,3.75,4.39,2.72,
December,2.17,2.50,2.16,1.98,4.19,1.86,0.98,2.42,2.90,5.98,3.33,
Total,34.28,24.91,22.61,30.71,33.91,29.34,27.67,32.89,30.36,28.17,37.84,
Calc annual,29.21,24.91,22.61,30.71,33.91,29.34,27.67,32.89,30.36,28.17,37.84,
Difference,5.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
