CRANWELL AIRFIELD (Early position),,,,,,,,,,,,,,,,,,,,
Grid ref,SK994493,Long,-0.519,Lat,53.032,Elevation,237,ft,,,,,,,,,,,,
Station no,2542,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936
January,,1.33,3.25,1.88,2.01,2.09,1.59,1.76,1.52,2.26,1.46,2.99,1.20,2.57,2.17,0.70,1.46,1.64,2.21,3.30
February,,1.34,2.57,1.32,0.37,2.34,3.49,0.68,1.88,1.06,1.51,1.17,0.57,0.49,2.72,0.60,1.72,0.48,1.89,2.19
March,,0.75,2.73,2.32,0.79,1.40,1.60,0.52,0.96,0.51,1.65,1.82,0.37,2.18,0.30,1.49,2.61,2.05,0.45,1.17
April,,1.18,1.50,4.35,0.98,2.54,0.80,1.30,1.26,1.83,1.59,0.63,1.03,3.16,2.93,1.86,1.44,2.02,2.67,1.71
May,,3.64,0.85,2.62,1.66,0.68,2.34,2.64,2.92,2.80,0.89,1.41,1.00,1.78,2.70,4.62,1.28,0.50,0.41,0.73
June,,0.57,1.46,1.98,0.83,0.73,0.77,1.87,0.13,2.39,2.93,2.13,1.15,0.91,2.85,0.41,2.05,0.63,1.76,3.20
July,,2.23,2.23,2.03,0.40,4.87,3.77,2.04,0.91,1.58,1.87,1.24,1.67,3.58,3.73,9.89,1.69,2.94,0.67,4.63
August,,1.54,2.90,1.40,3.71,3.17,1.88,2.37,1.38,2.35,3.07,3.28,1.68,2.19,3.45,2.01,0.48,2.13,1.31,0.80
September,,3.42,1.95,1.42,1.17,2.12,1.98,2.13,3.10,0.78,4.52,0.49,1.09,4.37,2.58,2.01,2.07,1.06,4.95,
October,2.80,1.55,1.76,1.36,2.49,0.97,2.09,4.47,2.75,1.85,1.94,3.85,1.95,1.59,0.54,3.13,2.59,0.98,2.34,
November,1.12,1.75,1.62,0.85,1.32,1.14,2.26,1.21,2.03,2.36,2.96,2.11,4.38,3.09,2.24,1.56,2.15,1.73,4.88,
December,0.53,2.87,2.64,2.13,1.36,3.30,2.44,2.47,1.76,0.84,2.94,1.83,3.64,1.83,0.97,0.55,0.37,3.37,2.25,
Total,,22.17,25.46,23.66,17.09,25.35,25.01,23.46,20.60,20.61,27.33,22.95,19.73,27.74,27.18,28.83,19.91,19.53,25.79,
,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/046,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/040,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/116,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
# The 1910s sheet is confusing due to initial figures being estimates and entered in the wrong year columns.,,,,,,,,,,,,,,,,,,,,
# Actual readings begin in October 1917. Estimates before this have been omitted.,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
# The gauge moved about 1km to a new site on the airfield in September 1936.,,,,,,,,,,,,,,,,,,,,
