CRANWELL AIRFIELD (Later position),,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF004493,Long,-0.504,Lat,53.032,Elevation,203,ft,,,,,,,,,,,,,,,,,
Station no,2542,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.02,2.12,3.75,1.95,2.68,2.52,4.27,2.34,1.74,1.40,1.37,3.38,1.13,0.80,2.64,1.25,0.76,1.00,1.86,4.22,1.05,2.14,2.46,4.42
February,,2.59,1.44,0.67,2.16,2.66,1.41,0.37,2.14,1.83,2.17,1.61,0.93,0.56,3.46,3.14,0.25,1.19,2.50,2.20,0.69,1.85,2.69,0.37,1.93
March,,2.14,0.27,1.95,1.69,3.45,1.13,0.42,0.22,0.70,1.08,3.99,0.41,1.00,0.57,3.18,2.42,0.81,1.35,2.22,0.85,1.67,1.50,1.77,1.39
April,,2.70,0.16,1.85,1.12,1.16,0.68,0.85,2.18,1.30,1.22,1.77,2.07,1.83,2.14,2.09,0.84,1.96,0.34,1.07,1.43,0.20,0.46,2.30,0.61
May,,3.64,4.13,1.01,1.31,2.20,2.96,2.47,1.20,2.02,1.35,0.55,2.11,2.37,2.77,3.41,1.97,2.64,2.83,3.13,0.57,1.16,2.14,0.78,0.88
June,,1.19,1.00,1.88,0.81,0.35,1.59,2.26,1.38,2.34,3.98,2.33,3.66,0.71,1.28,1.08,3.42,2.21,2.61,3.15,3.85,2.08,4.33,0.51,0.55
July,,2.89,2.83,2.46,3.04,4.37,2.10,1.40,1.87,2.44,2.02,2.25,0.80,2.59,2.46,0.99,0.22,1.93,1.65,0.59,2.66,2.72,4.56,1.55,3.24
August,,0.43,2.20,3.03,0.42,3.65,2.54,1.63,3.63,2.31,3.39,0.13,2.67,1.60,0.93,4.20,1.64,1.33,3.92,0.52,4.92,2.05,2.11,1.33,3.89
September,2.30,0.75,2.24,0.67,0.49,0.59,1.45,2.38,2.69,1.56,3.36,1.04,2.37,1.01,3.34,0.95,1.96,0.83,1.71,1.61,1.62,3.90,1.80,0.08,2.89
October,1.86,2.21,1.91,3.52,3.26,2.76,2.17,1.51,2.41,2.97,1.97,0.27,2.24,3.58,0.66,1.53,2.39,2.04,2.41,1.52,1.14,0.89,1.39,1.39,4.57
November,2.19,1.20,1.83,3.51,4.63,3.02,2.39,1.61,3.50,0.44,3.89,0.98,1.00,2.46,4.12,4.63,2.10,1.42,4.12,1.08,0.82,1.84,1.09,1.95,2.87
December,1.52,1.66,4.13,1.64,1.79,0.51,1.34,0.73,1.16,1.61,2.60,1.80,3.00,1.27,1.39,1.42,1.48,0.72,2.51,1.47,1.35,1.72,2.65,2.71,3.60
Total,,24.42,24.26,25.94,22.67,27.40,22.28,19.90,24.72,21.26,28.43,18.09,24.64,20.11,23.92,29.26,19.94,17.84,26.95,20.42,24.12,21.13,26.86,17.20,30.84
,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/116,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/201,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/201,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"# The gauge was at a different site on the airfield, about 1km to the west, before September 1936.",,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,
# The station is still active according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,
