CARMARTHEN-ST-DAVIDS-AVENUE-PRIORY STREET,,,,,,,,,,
Grid ref,SN417204,Long,-4.3001841,Lat,51.859669,Elevation,60,ft,,
Station no,4096/2,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,5.8,1.35,,,,,
February,,,,0.67,4.21,,,,,
March,,2.87,,4.2,0.83,,,,,
April,,,,3.55,,,,,,
May,,3.37,2.13,2.62,,,,,,
June,,,1.95,2.06,,,,,,
July,,,3.69,0.34,,,,,,
August,,,1.98,4.05,,,,,,
September,,,2.08,5.61,,,,,,
October,,,9,5.01,,,,,,
November,,,0.92,2.1,,,,,,
December,,,2.01,12.74,,,,,,
Total,,,,48.75,,,,,,
,,,,,,,,,,
"Gauge was at Priory Street 1932 to 1935 (SN417204?), College Road 1936 to May 1937 (SN401203?) and Spilman Street Jun 1937 to 1942 (SN414200?) lots of gaps",,,,,,,,,,
NGR is on Priory Street. Altitudes match,,,,,,,,,,
