CARMARTHEN-ST-DAVIDS-AVENUE-SPILMAN-STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,SN414200,Long,-4.3043531,Lat,51.85599,Elevation,65,ft,,,,,,,,,,,,
Station no,4096/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,6.37,,3.59,5.83,,,,,,,,
February,,,,,,,,,5.05,,5.22,0.81,,,,,,,,
March,,,,,,,,,2.47,,2.95,4.09,,,,,,,,
April,,,,,,,,,3.46,,,,,,,,,,,
May,,,,,,,2.06,,1.37,,3.1,,,,,,,,,
June,,,,,,,2.06,,2.65,,1.07,,,,,,,,,
July,,,,,,,3,6.18,,,3.87,,,,,,,,,
August,,,,,,,1.42,3.64,,,4.83,,,,,,,,,
September,,,,,,,4.14,2.73,,,,,,,,,,,,
October,,,,,,,5.4,,,7.11,,,,,,,,,,
November,,,,,,,2.57,,,,,,,,,,,,,
December,,,,,,,3.85,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Gauge was at Priory Street 1932 to 1935 (SN417204?), College Road 1936 to May 1937 (SN401203?) and Spilman Street Jun 1937 to 1942 (SN414200?) lots of gaps",,,,,,,,,,,,,,,,,,,,
NGR is on Spilman Street Road at stated altitude,,,,,,,,,,,,,,,,,,,,
