CARMARTHEN-ST-DAVIDS-AVENUE-COLLEGE-ROAD,,,,,,,,,,,,
Grid ref,SN401203,Long,-4.323352,Lat,51.858314,Elevation,120,ft,,,,
Station no,4096/2,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,,,6.22,,,,,
February,,,,,,2.85,8.06,,,,,
March,,,,,,2.74,2.78,,,,,
April,,,,,,3.3,2.08,,,,,
May,,,,,,2,,,,,,
June,,,,,,4.58,,,,,,
July,,,,,,6.56,,,,,,
August,,,,,,2.24,,,,,,
September,,,,,,4.1,,,,,,
October,,,,,,2.27,,,,,,
November,,,,,,5.44,,,,,,
December,,,,,,5.64,,,,,,
Total,,,,,,,,,,,,
,,,,,,,,,,,,
"Gauge was at Priory Street 1932 to 1935 (SN417204?), College Road 1936 to May 1937 (SN401203?) and Spilman Street Jun 1937 to 1942 (SN414200?) lots of gaps",,,,,,,,,,,,
NGR is on College Road at stated altitude,,,,,,,,,,,,
