"BIRMINGHAM (ERDINGTON, SPRING LANE) (+A)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP113911,Long,-1.834905,Lat,52.517668,Elevation,386,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2486/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.9,2.83,0.99,3.34,3.55,3.5,6.03,,3.78,3.27,4.85,2.6,1.76,2.1,2.06,4.47,1.37,0.71,2.54,2.42,0.98,1,2.08,3.75,1.12,2.22,3.8,5.78
February,,,3.4,0.31,2.59,2.6,3.48,0.79,0.85,,2.37,1.3,1.48,1.7,2.44,2.84,1.48,1.6,0.7,4.81,2.69,0.47,1.12,1.82,2.09,0.39,3.44,4.34,0.31,2.52
March,,,2.81,2.05,0.71,2.07,2.47,0.62,1.86,1.43,2.48,1.56,0.91,0.31,0.81,0.78,6.19,1.1,1.52,1.38,4.33,2.05,1.71,2.55,3.11,1,2.16,1.72,1.55,1.69
April,,,1.04,3.11,3.13,1.91,2.46,0.15,2.15,4.16,1.47,1.45,1.13,2.14,1.01,2.21,2.36,1.42,2.46,2.16,2.42,2.59,2.62,0.65,1.06,1.37,0.2,0.85,3.69,1.13
May,,,1.38,0.87,1.21,0.92,2.23,1.92,1.2,2.75,2.41,3,3.62,0.58,2.59,2.6,2.74,2.18,2.74,1.63,3.57,2.72,2.46,2.41,5.27,0.51,1.43,2.11,0.9,0.93
June,,,2.09,0.91,3.22,3.53,1.06,2.71,2.15,0.59,0.82,0.2,1.87,1.48,3.01,4.77,1.54,2.82,0.24,2.17,1,1.72,1.86,3.55,2.61,1.95,0.84,4.52,1.24,2.64
July,,,3.48,1.59,0.27,5.64,2.47,3.2,5.85,3.02,4.05,2.15,0.78,2.35,2.89,1.34,2.72,1.61,2.26,2.55,0.8,2.22,3.19,3.63,0.44,3.23,3.5,3.7,1.65,3.41
August,,,1.05,1.73,1.94,0.96,0.98,4.51,3.06,0.33,4.43,3.33,1.64,2.6,1.83,5.16,0.66,4.13,1.38,2.87,4.37,3.78,2.45,4.18,0.44,5.32,4.12,2.58,2.4,3.71
September,,2.68,0.58,2.47,4.09,2.86,1.8,1.76,0.92,0.72,0.32,1.25,1.83,2.78,1.34,3.8,1.4,2.62,1.03,4.11,2.72,1.34,2.46,1.4,1.61,2.26,4.77,3.32,0.25,5.51
October,,3.7,4.23,1.79,3.16,1.66,2.52,3.34,3.97,3.73,2.45,2.49,2.07,2.7,4.06,0.48,0.55,2.89,5.03,0.74,0.63,3.97,2.09,3.37,1.55,1.24,1.27,2.67,2.28,5.04
November,,1.91,0.95,2.36,5.16,2.23,1.9,3.94,3.89,5.48,3.12,1.39,1.69,4.33,0.29,6.11,1.83,1.5,3.22,4.47,6.51,2.22,1.31,5.78,2.33,0.75,1.94,2.02,4.57,3.38
December,,0.76,0.4,4.37,3.67,2.78,2.46,4.1,1.39,1.78,1.52,2.78,1.16,1.72,2.82,2.65,1.84,4.4,1.5,1.41,2.46,2.55,1.31,2.44,2.18,2.96,2.15,2.67,4.45,3.49
Total,,,23.31,24.39,30.14,30.5,27.38,30.54,33.32,,29.22,24.17,23.03,25.29,24.85,34.84,25.37,30.74,23.45,29.01,34.04,28.05,23.56,32.78,24.77,24.73,26.94,32.72,27.09,39.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940 Jan 2.5, Feb 2.5 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Nov mistranscribed from original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3032,ERDINGTON: SPRING LANE ,01/01/1932,31/12/1981,,,,,,,,,,,,,,,,,,,,,,,,,,,
