"BIRMINGHAM (ERDINGTON, SPRING LANE)",,,,,,,,,,,,
Grid ref,SP113911,Long,-1.834905,Lat,52.517668,,,,,,,
Station no,2486/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.54,2.42,0.98,1.00,2.08,3.75,1.12,2.22,3.80,5.78,,
February,2.69,0.47,1.12,1.82,2.09,0.39,3.44,4.34,0.31,2.52,,
March,4.33,2.05,1.71,2.55,3.11,1.00,2.16,1.72,1.55,1.69,,
April,2.42,2.59,2.62,0.65,1.06,1.37,0.20,0.85,3.69,1.13,,
May,3.57,2.72,2.46,2.41,5.27,0.51,1.43,2.11,0.90,0.93,,
June,1.00,1.72,1.86,3.55,2.61,1.95,0.84,4.52,1.24,2.64,,
July,0.80,2.22,3.19,3.63,0.44,3.23,3.50,3.70,1.65,3.41,,
August,4.37,3.78,2.45,4.18,0.44,5.32,4.12,2.58,2.40,3.71,,
September,2.72,1.34,2.46,1.40,1.61,2.26,4.77,3.32,0.25,5.51,,
October,0.63,3.97,2.09,3.37,1.55,1.24,1.27,2.67,2.28,5.04,,
November,6.51,2.22,1.31,5.78,2.33,0.76,1.94,2.02,4.57,3.38,,
December,2.46,2.55,1.31,2.44,2.18,2.96,2.15,2.67,4.45,3.49,,
Total,34.04,28.05,23.56,32.78,24.77,24.73,26.94,32.82,27.09,39.23,,
Calc annual,34.04,28.05,23.56,32.78,24.77,24.74,26.94,32.72,27.09,39.23,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.01,0.00,0.10,0.00,-0.00,,
