"EATON HALL GARDENS",,,,,,,,,,,,
Grid ref,SJ413607,Long,-2.878962,Lat,53.140201,,,,,,,
Station no,2793,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.43,,,2.27,2.29,0.56,3.42,1.11,1.73,1.40,,
February,3.61,,,1.55,2.86,0.92,2.21,1.33,1.68,0.64,,
March,1.22,,,4.06,1.70,2.79,1.56,1.24,2.70,2.46,,
April,0.88,,,1.26,0.77,1.81,0.87,1.31,2.88,1.88,,
May,1.40,,,3.07,2.02,1.09,2.61,2.89,3.71,1.21,,
June,1.83,,,1.36,1.42,2.16,1.12,3.68,2.42,3.78,,
July,1.81,,,3.20,2.03,1.69,1.32,3.03,3.13,3.42,,
August,5.36,,,3.26,4.16,3.33,2.51,2.59,3.79,2.88,,
September,1.09,,,3.70,1.67,1.57,1.31,0.52,4.06,2.69,,
October,3.62,,,6.48,1.16,2.20,4.65,4.58,2.15,3.40,,
November,2.66,,,2.75,1.12,2.76,1.56,2.55,2.08,0.60,,
December,2.37,,,1.36,2.25,0.42,3.53,1.99,2.58,5.62,,
Total,28.28,,,34.32,23.45,21.30,26.67,26.82,32.91,29.98,,
Calc annual,28.28,0.00,0.00,34.32,23.45,21.30,26.67,26.82,32.91,29.98,,
Difference,-0.00,NaN,NaN,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
