INVERNESS STATION,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 66836 45570,Long,-4.222622,Lat,57.48075,Elevation,18,ft,,,,,,,,,,,,
Station no,RR2002,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,2.59,1.74,2.84,2.88,1.8,3.62,2.28,0.7,1.9,0.42,2.64,2.16,4.1,0.89,2.52,1.23,1.28,0.54
February,,,0.69,0.52,0.64,0.88,2.3,3.84,0.9,0.76,2.16,1.3,2.72,2.16,2.14,2.74,1.41,2.42,0.94,3.38
March,,,0.9,1.1,1.69,1.68,4.5,2.04,1.5,2.84,1.38,1.8,4.04,1.24,1.02,1.58,1.31,0.98,2.85,2.06
April,,,1.55,0.9,1.56,1.2,2.26,2.02,0.42,1.18,1.3,0.74,2.06,0.92,0.88,0.38,0.58,1.33,1.68,2.1
May,,,3.57,2.8,1.92,1.08,0.76,2.94,1.74,2.92,0.77,2.98,1.28,1.24,1.82,2.38,3.2,0.74,1.2,0.72
June,,,5.56,1.54,0.86,1.48,2.4,3.48,2.08,3.7,1.63,1.7,2.18,1.04,1.7,1.08,0.82,0.42,1.16,0.22
July,,,2.65,3.4,2.94,3.69,1.62,2.7,0.48,4.81,4.8,3.6,2.74,4.8,4.82,0.58,2.02,2.56,3.7,1.3
August,,,3.66,1.6,6.48,2.82,1.32,4.93,3.86,3.12,1.28,2.92,1.64,3.3,1.94,1.3,1.28,2.08,1.76,2.6
September,,,4.49,6,2.66,2.67,3.32,1.62,2.84,1.52,1.32,1.42,5.26,3.24,1.12,3.24,2.42,3.24,0.94,0.74
October,,,3.44,2.58,3.46,1.5,2.54,4.09,2.36,1.46,3.02,3.66,1.64,2.08,2.12,1.22,1.74,1.7,2.85,1.24
November,,,4.46,3.04,1.98,3.2,2.04,3.62,2.98,2.84,3.21,3.88,2.6,3.6,2.8,0.68,2.45,1.5,2.9,1.48
December,,,1.57,2.97,0.64,2.74,2.08,2.88,0.77,1.76,1.92,1.24,2.84,2.68,1.98,3.39,2.33,1.92,0.96,0.98
Total,,,35.13,28.19,27.67,25.82,26.94,37.78,22.21,27.61,24.69,25.66,31.64,28.46,26.44,19.46,22.08,20.12,22.22,17.36
