BLACK-MOUNTAINS-TAREN-Y-ESGOB-GAUGE-1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO239311,Long,-3.1092432,Lat,51.973138,Elevation,2039,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,1.9,2.2,3.35,0.95,6.28,6.61,2.52,4.83,2.29,2.55,7.13,4.7,4.19,5.1,4.5,2.39,6.07,3.56,3.74,6.6,,,
February,,,,,,,,,1.48,1.05,4.4,2.01,3.96,2.14,4.9,8.42,,1.64,2.84,3.52,2.01,0.37,5.85,11.96,0.82,6.99,3.1,4.86,,,
March,,,,,,,,,4.75,6.2,1.7,2.47,8.32,8.75,,1.05,,,3.15,4.5,5.53,4.25,4.14,2.07,2.47,1.56,0.99,4.76,,,
April,,,,,,,,,3.75,3.55,4.1,2.18,0.42,6.12,1.49,1.97,2.4,,4.38,3.89,7.33,1.07,4.44,2.41,4.35,2.93,4.56,2.17,,,
May,,,,,,,,,3.75,1.4,3.25,2.69,2.4,4.84,2.85,6.28,5.1,6.84,3.33,0.69,3.03,1.92,1,3.25,6.66,5.27,3.6,1.76,,,
June,,,,,,,,,0.9,3.85,7.35,4.51,4.92,1.52,4.04,1.77,2.87,3.21,1.41,1.87,4.65,0.24,2.26,0.79,2.63,0.03,3.03,5.03,,,
July,,,,,,,,,4.05,3.65,4.4,1.1,6.27,1.2,5.84,5.59,1.65,3.2,5.97,2,7.07,1.69,5.31,3.22,7.43,4.44,3.95,4.81,,,
August,,,,,,,,,5.3,2.35,6.8,3.25,11.73,3.2,3.48,4.42,3.28,10.81,3.3,3.74,1.86,3.86,4.29,3.69,5.66,4.29,4.6,9.99,,,
September,,,,,,,,,3.35,4,1.11,3.57,2,4.69,2.45,0.83,3.31,3.36,8.9,2.87,5.18,2.41,3.3,3.78,9.5,4.33,2.24,10.05,,,
October,,,,,,,,,3.15,7.1,0.85,4.2,5.62,7.79,5.29,8.17,9.41,5.88,2.22,3.57,6.51,2.03,1.23,7.97,6.42,6.19,4.91,6.52,,,
November,,,,,,,,3.8,2.8,2.25,4.72,6.39,2.7,5.89,7.05,3.89,5.76,2.67,3.45,2.59,1.97,4.12,1.8,3.1,3.55,2.91,10.84,4.69,,,
December,,,,,,,,,5.35,5.4,12.2,11.02,6.53,2.49,8.86,9.3,3.52,2.12,5.78,6.09,5.21,3.69,4.4,2.66,6.92,4.32,1.21,3.61,,,
Total,,,,,,,,,40.53,43,54.23,44.34,61.15,55.24,,56.52,,,51.86,40.03,54.54,30.75,42.52,47.29,62.48,46.82,46.77,64.85,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is on Tarren yr Esgob at the stated altitude.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR could be +/- 500m NNE or SSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
