BLACK-MOUNTAINS-TAREN-Y-ESGOB-GAUGE-TOP-1,,,,,,,,,,
Grid ref,SO237311,Long,-3.1121541,Lat,51.97311,Elevation,2075,ft.,,
Station no,RR6205,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,6.15,3.43,5.27,3.15,2.73,,
February,,,,2.72,6.78,9.12,,1.81,,
March,,,,8.56,,1.05,,6.24,,
April,,,,7.34,1.88,2.17,2.8,3.65,,
May,,,,5.35,3.34,5.64,5.17,6.8,,
June,,,,1.94,3.81,1.74,3.04,3.46,,
July,,,,1.21,5.81,6.2,1.74,3.11,,
August,,,,3.7,4.13,4.62,3.48,11.9,,
September,,,,4.64,2.73,0.84,3.52,3.7,,
October,,,,7.83,5.12,7.25,10.39,6.86,,
November,,,,7.61,7.77,3.72,,3.33,,
December,,,7.06,3.24,9.97,11.18,3.2,2.04,,
Total,,,,60.29,,58.8,,55.63,,
,,,,,,,,,,
NGR is on Tarren yr Esgob at the stated altitude.,,,,,,,,,,
NGR could be +/- 500m NNE or SSW,,,,,,,,,,
