BLACK MOUNTAINS TAREN-Y-ESGOB,,,,,,,,,,,,
Grid ref,SO240310,Long,-3.107766,Lat,51.972252,,,,,,,
Station no,RR6205,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.90,2.20,,
February,,,,,,,,,1.48,1.05,,
March,,,,,,,,,4.75,6.20,,
April,,,,,,,,,3.75,3.55,,
May,,,,,,,,,3.75,1.40,,
June,,,,,,,,,0.90,3.85,,
July,,,,,,,,,4.05,3.65,,
August,,,,,,,,,5.30,2.35,,
September,,,,,,,,,3.35,4.00,,
October,,,,,,,,,3.15,7.10,,
November,,,,,,,,3.80,2.80,2.25,,
December,,,,,,,,,5.35,5.40,,
Total,,,,,,,,,40.53,43.00,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.80,40.53,43.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
