BLACK-MOUNTAINS-TAREN-Y-ESGOB-GAUGE-1cd,,,,,,,,,,
Grid ref,SO239311,Long,-3.1092432,Lat,51.973138,Elevation,2040,ft.,,
Station no,RR6205,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,5.25,6.08,2.53,5.3,2.83,2.74,,
February,,,3.72,1.86,4.59,9.23,,1.72,,
March,,,7.46,9.53,6.28,1.11,,6.27,,
April,,,0.43,6.04,1.54,2.21,2.83,3.83,,
May,,,2.48,4.96,3.13,6.09,5.13,6.9,,
June,,,4.97,1.52,4.28,1.75,2.79,3.28,,
July,,,6.41,1.2,5.98,5.69,1.73,3.28,,
August,,,,3.39,3.51,4.41,3.3,10.73,,
September,,3.54,,4.87,2.55,0.83,3.4,3.28,,
October,,4.7,,7.71,5.47,8.04,9.19,6.26,,
November,,6.89,,6.34,8.35,3.7,5.85,3.03,,
December,,10.75,,2.45,10.79,9.72,3.6,1.63,,
Total,,,,55.95,59,58.08,,52.95,,
,,,,,,,,,,
NGR assumed to be as other gauge,,,,,,,,,,
