BLACK-MOUNTAINS-TAREN-Y-ESGOB-GAUGE-TOP-2,,,,,,,,,,
Grid ref,SO237311,Long,-3.1121541,Lat,51.97311,Elevation,2075,ft.,,
Station no,RR6205,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,6.05,3.05,4.26,,,,
February,,,,2.28,6.5,7.84,,,,
March,,,,8.36,5.61,0.72,,,,
April,,,,7.02,1.71,1.81,,,,
May,,,,5.08,3.11,5.19,,,,
June,,,,2.05,3.46,,,,,
July,,,,1.08,5.35,,,,,
August,,,,3.62,3.7,,,,,
September,,,,4.28,2.62,,,,,
October,,,,7.65,4.47,,,,,
November,,,3.01,6.5,6.39,,,,,
December,,,7.42,2.57,8.08,,,,,
Total,,,,56.54,54.05,,,,,
,,,,,,,,,,
NGR is on Tarren yr Esgob at the stated altitude.,,,,,,,,,,
NGR could be +/- 500m NNE or SSW,,,,,,,,,,
