BLACK-MOUNTAINS-TAREN-Y-ESGOB-GAUGE-1c,,,,,,,,,,
Grid ref,SO239311,Long,-3.1092432,Lat,51.973138,Elevation,2040,ft.,,
Station no,RR6205,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,4.6,,,,,,,
February,,,3.36,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,11.3,,,,,,,
September,,3.3,1.96,,,,,,,
October,,3.7,,,,,,,,
November,,5.91,,,,,,,,
December,,8.62,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
NGR assumed to be as other gauge,,,,,,,,,,
