IPSWICH (WHITTON PUMPING STATION),,,,,,,,,,,,
Grid ref,TM153483,Long,1.141438,Lat,52.091143,,,,,,,
Station no,1346/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.66,1.37,2.45,3.62,1.26,2.57,2.12,2.75,,
February,,,1.14,2.21,2.34,0.99,2.38,2.72,0.16,1.39,,
March,,,0.41,2.49,1.57,0.94,1.53,1.02,1.49,1.52,,
April,,,1.72,0.38,0.18,0.91,0.31,1.02,1.41,0.55,,
May,,,1.84,1.41,2.79,0.84,2.13,2.94,0.28,0.65,,
June,,,2.98,2.23,4.42,1.72,2.24,3.98,1.35,2.83,,
July,,,2.52,2.85,0.15,2.38,2.66,2.08,1.65,3.24,,
August,,,1.85,3.16,4.52,3.02,3.02,3.56,0.91,2.80,,
September,,,1.48,1.07,1.24,2.89,2.67,3.37,0.02,3.52,,
October,,,2.04,1.79,3.81,1.40,1.69,2.38,1.58,5.81,,
November,,,1.45,4.45,0.75,0.58,2.94,1.03,2.24,3.01,,
December,,,0.72,2.09,1.64,1.68,1.93,3.42,3.30,3.34,,
Total,,,18.81,25.50,25.86,20.97,24.76,30.09,16.51,31.41,,
Calc annual,0.00,0.00,18.81,25.50,25.86,20.97,24.76,30.09,16.51,31.41,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
