"BIRMINGHAM (EDGBASTON)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2478,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,1.99,2.37,1.92,3.13,1.06,3.54,3.69,3.09,5.81,3.04,,
February,2.47,0.29,3.89,0.29,2.57,2.74,3.89,0.89,1.40,2.38,,
March,0.18,1.89,2.92,2.04,0.64,2.30,2.64,0.44,1.64,1.64,,
April,4.02,3.24,0.73,2.20,3.50,2.02,2.86,0.10,2.11,4.80,,
May,3.94,6.81,2.28,0.92,1.77,0.99,2.50,1.84,1.09,2.65,,
June,3.59,1.66,2.26,1.02,2.35,3.34,0.82,2.02,1.61,0.68,,
July,3.21,2.53,2.11,1.00,0.40,6.59,2.74,3.00,3.86,3.20,,
August,4.65,2.48,0.78,2.31,2.16,0.82,0.97,3.29,2.62,0.22,,
September,2.41,3.00,0.71,2.07,3.77,2.98,1.99,1.90,0.97,0.80,,
October,0.91,3.56,5.00,1.65,3.37,1.61,2.67,2.67,3.35,4.34,,
November,3.76,2.06,0.93,2.07,5.80,2.91,1.57,3.40,4.57,-999.00,,
December,0.88,1.07,0.49,4.59,3.59,2.67,2.54,4.39,1.66,2.07,,
Total,32.01,30.96,24.02,23.29,30.98,32.51,28.88,27.03,30.69,32.89,,
Calc annual,32.01,30.96,24.02,23.29,30.98,32.51,28.88,27.03,30.69,25.82,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.07,,
