HERTFORD-FROGMORE-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL288206,Long,-0.13066442,Lat,51.869114,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,3.25,2.1,2.13,2.86,1.06,2.69,1.35,2.73,1.47,2.98,1.81,2.18,1.4,1.16,1.29,,,,,,,
February,,,,,,,,,,3.23,0.29,0.16,1.69,2.92,0.79,2.92,2.63,3.68,1.51,0.53,0.6,1.76,0.27,1.61,,,,,,,
March,,,,,,,,,,2.76,1.4,0.74,1.54,1.79,0.6,0.92,0.07,1.98,1.84,0,1.81,0.11,1.54,2.05,,,,,,,
April,,,,,,,,,,4.4,3.25,1.3,2.63,1.87,2.88,1.24,2.72,1.99,1.16,1.55,2.15,3.46,2.26,0.81,,,,,,,
May,,,,,,,,,,0.34,0.77,1.23,1.07,1.22,4.32,1.77,1.49,0.97,1.53,1.69,2.57,2.49,3.78,2.04,,,,,,,
June,,,,,,,,,,1.09,1.24,0.58,1.26,0.63,1.57,0.22,3.35,3.25,2.02,0.59,0.64,1.41,0.79,1.4,,,,,,,
July,,,,,,,,,,2.74,4.44,0.2,4.06,2.61,4.94,3.62,2.96,2.43,2.15,1.8,2.17,3.91,2.16,,,,,,,,
August,,,,,,,,,,2.8,1.39,1.21,2.06,1.73,2.08,2.9,0.78,3.46,2.4,0.7,2.73,4.1,2.33,,,,,,,,
September,,,,,,,,,,1.25,1.69,1.76,2.11,1.72,2.17,3.17,1.91,4.28,0.75,0.16,3.56,2.23,1.48,,,,,,,,
October,,,,,,,,,,0.69,1.46,0.81,0.96,4.18,3.7,2.77,2.29,1.77,3.2,3.5,0.95,0.51,4.24,,,,,,,,
November,,,,,,,,,,1.6,1.07,1.81,1.18,1.51,2.6,1.68,4.5,2.51,2.01,5.35,4.13,2.49,1.27,,,,,,,,
December,,,,,,,,,,4.03,2,1.51,2.42,2.4,2.3,2.06,0.29,3.26,2.7,4.8,2.38,0.75,0.43,,,,,,,,
Total,,,,,,,,,,28.18,21.1,13.44,23.84,23.64,30.64,24.62,25.72,31.05,24.25,22.48,25.87,24.62,21.71,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_07_pt1-page-020 not used as blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
