OSWALDKIRK - THE HERMITAGE,,,,,,,,,
Grid ref,SE603790,Long,-1.077,Lat,54.203,Elevation,425,ft,
Station no,RR6003,,,,,,,,
,,,,,,,,,
,1885,1886,1887,1888,1889,1890,1891,1892,1893
January,,3.26,1.91,0.48,1.32,2.60,1.88,,1.98
February,2.09,0.99,0.52,2.07,1.21,0.99,0.00,,2.23
March,1.95,2.74,1.79,3.19,2.63,1.99,1.72,,0.34
April,1.73,2.56,0.62,1.86,1.66,1.06,1.85,,0.55
May,2.80,3.64,2.14,0.92,3.18,2.79,1.76,,0.43
June,2.58,0.65,0.20,1.82,0.24,2.05,-999.00,,1.48
July,1.15,4.83,1.17,4.55,2.61,2.77,-999.00,,2.29
August,1.55,2.33,3.29,2.77,5.56,4.09,-999.00,,-999.00
September,3.18,1.65,3.20,1.01,0.81,1.42,-999.00,,-999.00
October,4.59,3.01,2.92,0.48,4.32,2.09,4.62,,1.97
November,2.08,2.37,2.20,3.31,0.87,3.71,0.03,,3.21
December,1.58,3.76,1.75,1.51,1.88,1.10,5.84,,2.26
Total,,31.79,21.71,23.97,26.29,26.66,26.47,,19.96
,,,,,,,,,
TYRain_1880-1889_11_pt2/043,,,,,,,,,
TYRain_1890-1899_17_pt1/196,,,,,,,,,
,,,,,,,,,
# The reading for January 1885 is an estimate and has been omitted.,,,,,,,,,
# June-September 1891 are grouped into a single aggregate reading of 8.77 on the sheet.,,,,,,,,,
# August and September 1893 are grouped into a single aggregate reading of 3.22 on the sheet.,,,,,,,,,
