DULVERTON-COUNCIL-OFFICES,,,,,,,,,,
Grid ref,SS912280,Long,-3.553268,Lat,51.041021,Elevation,440,ft,,
Station no,2111/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,5.08,6.67,5.34
February,,,,,,,,6.36,0.25,4.67
March,,,,,,,,1.91,4.65,2.67
April,,,,,,,,1.59,4.73,3.73
May,,,,,,,,6.28,1.5,3
June,,,,,,,,3.86,2.01,2.36
July,,,,,,,,3.12,3.56,6.93
August,,,,,,,,6.1,3.88,4.68
September,,,,,,,,7.16,0.66,5.3
October,,,,,,,,4.63,6.06,10.78
November,,,,,,,,3.63,7.38,7.46
December,,,,,,,,5.45,11.56,9.26
Total,,,,,,,,55.17,52.91,66.18
,,,,,,,,,,
,,,,,,,,,,
"Exmoor House was previously a workhouse, then council offices, then the headquarters of Exmoor National Park Authority in 1974",,,,,,,,,,
,,,,,,,,,,
"Post 1960 known as DULVERTON, EXMOOR HOUSE SRC_ID 8209",,,,,,,,,,
1958-1995,,,,,,,,,,
,,,,,,,,,,
1959 Mar Inspected Site satisfactory. Rim of gauge to be raised to 12in,,,,,,,,,,
