HOLBEACH MARSH - SOMERSET HOUSE,,,,,,,,
Grid ref,TF382316,Long,0.051,Lat,52.864,Elevation,0,ft
Station no,RR6511,,,,,,,
,,,,,,,,
,1907,1908,1909,1910,1911,1912,,
January,1.10,0.80,0.66,1.58,1.71,2.32,,
February,1.32,1.12,0.56,2.62,1.06,1.18,,
March,1.07,1.96,3.27,0.65,1.80,1.94,,
April,2.28,2.76,1.59,2.32,0.88,0.27,,
May,2.64,1.03,0.93,3.22,0.61,2.91,,
June,1.07,1.59,3.85,1.25,2.45,3.06,,
July,2.62,2.55,4.12,2.49,0.06,4.57,,
August,2.45,2.00,2.61,2.63,1.89,6.91,,
September,0.82,1.70,1.25,1.08,2.11,1.46,,
October,2.85,1.06,3.53,2.19,2.49,2.22,,
November,2.25,1.14,0.73,2.02,2.60,2.28,,
December,2.76,1.17,3.57,4.35,3.61,2.87,,
Total,23.23,18.88,26.67,26.40,21.27,31.99,,
,,,,,,,,
TYRain_1900-1909_17_pt1/071,,,,,,,,
TYRain_1910-1919_16_pt1/023,,,,,,,,
