CHURCHSTOKE-MELLINGTON-HALL-MONTHLY-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO258918,Long,-3.0949428,Lat,52.519009,Elevation,540,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,3.05,4.71,3.99,2.66,4.58,2.18,0.73,0.73,5.2,2.48,1.91,2.03,3.18,4.13,0.77,1.97,0.69,5.07,3.75,2.4,1.75,,,,,,,
February,,,2.83,5.58,3.85,3.96,1.15,0.49,0.53,1.52,0.53,0.06,1.68,4.16,2.65,0.12,0.48,1.89,2.53,4.07,3.89,0.96,0.75,,,,,,,
March,,,2.06,1.35,3,1.12,2.88,1.59,2.55,2.46,1.57,1.33,1.12,0.51,2.02,1.95,3.36,4.07,0.76,1.55,1.15,4.53,1.61,,,,,,,
April,,,3,1.68,1.02,2.81,1.27,1.41,1.82,6.32,1.3,2.47,0.91,0.19,1.9,2.11,0.96,2.68,2.03,2.53,1.52,2.56,2.17,,,,,,,
May,,,2.14,1.56,1.05,2.65,7.2,1.53,0.9,3.96,3.36,3.24,2.79,2.33,3.48,0.42,0.39,0.99,4.13,2.12,2.81,1.32,4,,,,,,,
June,,,3.52,2.82,2.04,3.5,1.33,1.67,2.84,0.41,1.79,2.39,1.8,1.14,1.51,5.54,2,1.82,1.16,2.16,2.22,2.47,2.37,,,,,,,
July,,,3.23,2.25,2.94,0.58,2.27,1.7,5.6,4.15,1.98,1.65,1.68,1.73,2.28,1.92,2.03,1.19,1.08,0.82,2.05,4.35,2.33,,,,,,,
August,,,2,1.08,1.71,4.23,1.12,2.49,3.69,3.11,3.75,4.49,2.45,1.93,3.14,2.25,1.51,2.48,2.59,1.04,3.94,1.66,3.62,,,,,,,
September,,,2.56,5.5,1.46,3.42,2.73,2.95,0.37,1.81,0.84,2.57,3.15,1.64,1.38,0.98,5.58,1.74,0.96,4.11,0.59,1.37,2.36,,,,,,,
October,,,4.67,3.02,2.04,5.13,4.89,2.31,1.48,3.62,1.62,5.55,2.25,3.72,3.95,3.13,3.93,1.37,5.86,2.75,3.97,2.75,2.82,,,,,,,
November,,,5.08,5.18,1.43,3.4,2.5,2.79,6.37,1.22,4.89,2.62,1.8,1.6,3.69,4.7,1.03,2.02,2.59,2.39,2.85,2.06,2.5,,,,,,,
December,,,3.61,1.48,3.39,1.07,5.5,2.96,3.04,1.86,0.85,5.32,1.41,4.77,2.37,2.78,4.96,4.97,3.08,3.35,4.04,4.33,2.9,,,,,,,
Total,,,37.75,36.21,27.92,34.53,37.42,24.07,29.92,31.17,27.68,34.17,22.95,25.75,31.55,30.03,27,27.19,27.46,31.96,32.78,30.76,29.18,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Mellington Hall at a location with the correct altitude. 2 gauges some labelled monthly the other with no label, but called the 1st, for 1900s there are no labels therefore have used longer record with the previous unlabelled records to give the longer continuous record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882 annual total corrected to sum of monthly readings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The two gauges overlap by 23 years and there are 24 randomly spaced duplicated mothly readings over that period; probably coincidental given how close the readings for the gauges are in general.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
