CHURCHSTOKE-MELLINGTON-HALL-1ST-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO258918,Long,-3.0949428,Lat,52.519009,Elevation,540,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,3.94,1.31,4.4,1.72,1.48,0.38,0.77,3.06,4.68,4.01,2.65,4.7,2.2,0.74,0.72,5.17,2.58,1.89,1.97,3.18,3.94,0.75,2.7,0.67,5.55,3.69,2.31,1.72,3.63,,,,,,
February,,,,,,1.41,2.81,2.36,1.06,2.74,3.13,4.29,2.78,5.59,4.08,3.88,1.23,0.51,0.6,1.46,0.53,0.07,1.59,3.7,2.66,0.08,0.42,1.25,2.51,4.22,4.18,0.95,0.71,2.55,,,,,,
March,,,,,,0.85,2.95,2.05,0.92,1.3,1.72,2.07,2,1.35,3,1.1,2.88,1.59,2.53,2.46,1.57,1.36,0.98,0.46,2.08,2.06,3.42,4.17,0.7,1.53,1.14,4.6,1.63,4.62,,,,,,
April,,,,,,1.79,2.18,2.34,1.34,1.6,1.49,0.96,3.01,1.68,1.01,2.75,1.28,1.44,1.8,6.6,1.22,2.46,0.85,0.15,1.93,2.19,0.95,2.72,2.02,2.7,1.46,2.51,2.17,1.62,,,,,,
May,,,,,,2.51,0.48,2.61,5.15,2.22,2.65,1.6,2.08,1.58,1.08,2.58,7.26,1.5,0.93,4.08,3.41,3.36,2.82,2.32,3.48,0.37,0.42,0.97,4.13,2.11,2.76,1.3,3.95,2.65,,,,,,
June,,,,,,1.63,1.07,1.82,3.34,4.76,2.88,1.74,3.49,2.8,2.03,3.5,1.35,1.72,2.82,0.41,1.82,2.39,1.81,1.07,1.64,5.46,2.02,1.84,1.1,2.2,2.2,2.37,2.24,1.81,,,,,,
July,,,,,,4.23,2.11,3.67,1.2,3.26,5.16,1.11,3.19,2.2,2.89,0.6,2.21,1.67,5.69,4.17,2,1.7,1.67,1.99,2.24,1.97,2.02,1.1,1.1,0.82,2.03,4.45,2.35,,,,,,,
August,,,,,3.44,2.34,2.62,4.2,5.71,4.88,1.24,3.65,2.01,1.09,1.71,4.15,1.14,2.48,3.68,3.02,3.5,4.32,2.43,2,3.17,2.28,1.53,2.47,2.64,1,3.86,1.55,3.61,,,,,,,
September,,,,,4.35,3.57,4.2,2.34,2.45,2.79,1.99,1.92,2.54,5.49,1.35,3.32,2.74,2.95,0.33,1.75,0.91,2.54,3.13,1.75,1.23,1.07,5.51,1.73,0.9,4.14,0.55,1.37,2.38,,,,,,,
October,,,,,2.75,4.93,3.06,2.68,4.55,1.16,5.32,3.12,4.65,2.95,2.01,5.02,4.95,2.25,1.33,3.61,1.65,5.65,2.15,3.71,3.98,3.15,4.02,1.4,5.18,2.75,3.93,2.65,2.88,,,,,,,
November,,,,,2.93,3.9,3.87,4.41,4.13,0.92,3.1,3.66,5.11,5.13,1.54,3.36,2.46,3,6.5,1.22,4.92,2.71,1.86,1.6,3.77,4.71,1.11,2.04,2.64,2.43,2.85,1.94,2.53,,,,,,,
December,,,,,2.53,1.51,4.98,2.1,2.61,1.69,4.56,3.69,3.6,1.44,3.33,0.89,5.55,2.76,2.98,1.86,0.78,5.29,1.43,4.81,2.3,2.91,5,4.85,2.76,2.82,3.99,4.63,2.96,,,,,,,
Total,,,,,,32.61,31.64,34.98,34.18,28.8,33.62,28.58,37.52,35.98,28.04,33.8,37.75,24.07,29.93,31.36,27.48,34.43,22.61,25.53,31.66,30.19,27.17,27.24,26.35,32.27,32.64,30.63,29.13,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Mellington Hall at a location with the correct altitude. 2 gauges some labelled monthly the other with no label, but called the 1st, for 1900s there are no labels therefore have used longer record with the previous unlabelled records to give the longer continuous record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The two gauges overlap by 23 years and there are 24 randomly spaced duplicated mothly readings over that period; probably coincidental given how close the readings for the gauges are in general.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
