"DUCHRAY VALLEY (ACHAIDH BURN)",,,,,,,,,,,,
Grid ref,NN369043,Long,-4.630808,Lat,56.203265,,,,,,,
Station no,5367,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,11.35,8.60,6.50,9.86,5.60,5.85,15.20,12.80,3.80,6.60,,
February,6.90,4.40,6.00,6.41,4.40,2.40,6.10,4.25,5.10,10.40,,
March,2.60,9.50,3.10,5.93,2.00,4.90,10.50,3.60,7.70,4.65,,
April,6.00,6.30,6.00,5.20,5.25,3.00,4.20,4.20,7.00,11.80,,
May,2.00,3.69,7.10,5.20,5.90,6.10,5.10,6.10,1.80,6.35,,
June,5.40,7.61,2.40,6.00,5.00,5.70,3.20,4.10,4.70,4.80,,
July,7.50,5.70,11.00,4.90,1.00,9.20,7.10,6.80,9.30,8.50,,
August,11.50,9.10,7.50,7.90,1.90,10.00,7.50,10.25,4.60,6.25,,
September,7.50,6.67,11.75,13.10,7.00,11.10,6.20,7.90,3.10,4.50,,
October,3.70,10.70,8.90,14.90,7.20,6.10,10.10,9.70,10.90,7.50,,
November,14.60,5.00,16.90,16.10,5.15,6.10,3.10,3.20,10.50,12.40,,
December,14.80,7.00,11.00,17.20,16.10,14.50,11.90,12.10,17.10,10.20,,
Total,93.85,84.27,98.15,112.70,66.50,84.95,90.20,85.00,85.60,93.95,,
Calc annual,93.85,84.27,98.15,112.70,66.50,84.95,90.20,85.00,85.60,93.95,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
