SALISBURY-PLAIN-SHREWTON (ORCHESTON ST MARY),,,,,,,,,,,,,,,,,,,,
Grid ref,SU059455,Long,-1.9169226,Lat,51.208678,Elevation,263,ft,,,,,,,,,,,,
Station no,1522,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,5.22,3.8,3.91,3.88,1.89,2.51,5.24,4.33,2.36,4.05,1.72,,,
February,,,,,,,4.71,2.32,1.82,2.97,2.37,1.04,2.49,1.5,2.32,2.61,3,,,
March,,,,,,,2.67,4.55,1.6,1.59,1.4,1.23,2.27,2.92,0.81,1.23,3.5,,,
April,,,,,,,2.7,2.37,2.6,0.78,0.31,3.19,1.98,0.83,1.47,1.53,2.64,,,
May,,,,,,,2.6,1.93,1.5,4.08,1,0.68,1.91,1.24,0.43,2.17,0.53,,,
June,,,,,,,1.29,1.5,0.4,1.08,0.19,1.75,2.67,1.86,1.23,2.85,1.19,,,
July,,,,,,,2.3,4.8,1.06,0.56,1.07,3.59,2.55,1.54,1.25,5.12,,,,
August,,,,,,,2.36,2.33,5.8,1.26,3.23,1.33,3.46,2.88,2.64,1.68,,,,
September,,,,,,,7.2,2.59,5.1,3.96,1.5,4.67,1.37,2.28,4.52,1.95,,,,
October,,,,,,6.65,1.42,3,2.44,2.15,4.35,1.74,4.87,1.89,4.5,6.32,,,,
November,,,,,,4.14,1.7,1.7,1.85,1.63,2.68,0.45,4.01,2.77,2.75,4.54,,,,
December,,,,,,2.76,2.8,2,6,3.76,2.19,2.07,4.87,0.65,2.82,1.05,,,,
Total,,,,,,,36.97,32.89,34.08,27.7,22.18,24.25,37.69,24.69,27.1,35.1,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
