SALISBURY-PLAIN-SHREWTON (ORCHESTON ST MARY),,,,,,,,,,,,,,,,,,,,,
Grid ref,SU059455,Long,-1.9169226,Lat,51.208678,Elevation,263,ft,,,,,,,,,,,,,
Station no,1522,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.57,3.72,3.13,4.31,3.58,4.21,1.57,,2.35,2.51,2.81,2.62,1.07,3.65,5.21,,,
February,,,,5.8,0.26,4.81,1.79,4.49,1.9,0.89,,2.38,0.13,4.5,0.09,2.69,5.01,4.79,,,
March,,,,2.2,1.17,0.29,0.6,4.01,2.21,0.23,,0.62,1.81,3.34,2.71,0.89,2.31,4.88,,,
April,,,,2.64,3.18,2.33,3.57,1.94,1.4,0.66,,2.85,3.15,1.29,1.98,3.63,1.7,1.73,,,
May,,,,1.61,4.03,4.28,1.81,0.69,1.51,1.68,,2.43,4.65,1.6,1,1.25,0.43,2.58,,,
June,,,,0.55,2.16,0.05,2.68,2.57,2.23,1.29,,2.22,1.68,1.95,0.69,3.88,1.87,1.51,,,
July,,,,1.08,3.61,4.55,2.06,3.22,1.87,1.15,,4.32,2.82,1.96,2.68,0.51,4.82,2.12,,,
August,,,,3.58,2.22,2.51,0.89,3.91,2.01,0.96,,3.53,1.32,0.57,2.54,2.99,0.45,1.21,,,
September,,,,2.09,3.76,3.57,1.01,5.06,1.68,0.98,,2.18,3.12,2.97,2.41,3.98,4.21,2.66,,,
October,,,,5.74,4.6,3.89,2.65,2.15,4.91,3.6,,0.58,5.42,2.59,1.86,4.53,1.45,4.2,,,
November,,,,1.77,3.1,2.16,7.09,2.83,3.09,8.19,,5.07,1.78,0.86,1.67,6.72,2.88,1.46,,,
December,,,,3.92,5.61,3.13,0.64,3.77,2.65,7.57,,1.59,1.44,0.99,7.57,3.68,3.59,3.05,,,
Total,,,,,37.42,34.7,29.1,38.22,29.67,28.77,,30.12,29.83,25.43,27.82,35.82,32.37,35.4,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1921 estimated,,,,,,,,,,,,,,,,,,,,,
