"AMESBURY SHREWTON",,,,,,,,,,,,
Grid ref,SU072435,Long,-1.898353,Lat,51.190679,,,,,,,
Station no,1522,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.32,1.90,0.93,3.51,4.95,0.86,6.01,0.87,2.26,1.47,,
February,4.32,1.66,1.40,1.79,3.83,0.83,4.30,1.80,1.61,0.70,,
March,1.26,2.10,1.87,4.60,1.84,5.16,1.49,0.72,4.32,4.15,,
April,2.24,2.29,1.92,3.35,1.51,2.67,1.49,3.80,3.48,1.76,,
May,1.87,1.18,2.61,3.69,2.70,0.54,2.42,3.22,2.56,1.53,,
June,2.72,1.46,3.54,4.31,1.25,4.66,2.91,2.10,0.63,4.44,,
July,1.49,2.56,1.28,4.11,3.10,0.43,0.99,2.07,2.14,3.08,,
August,3.06,2.54,3.89,4.70,2.75,3.41,1.29,2.17,3.72,3.45,,
September,0.59,3.29,1.64,2.51,2.04,1.71,0.90,0.47,2.19,5.07,,
October,2.80,2.07,2.01,9.38,1.90,2.11,6.75,7.77,1.79,5.22,,
November,2.83,0.61,3.56,1.98,2.04,4.13,3.82,2.93,1.07,0.75,,
December,5.37,5.50,1.78,3.46,3.14,1.29,2.70,4.32,2.99,4.50,,
Total,31.87,27.16,26.43,47.39,31.05,27.80,35.07,32.24,28.76,36.12,,
Calc annual,31.87,27.16,26.43,47.39,31.05,27.80,35.07,32.24,28.76,36.12,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
