BOLTON EGERTON HOUSE - old gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD711147,Long,-2.43837,Lat,53.62856,Elevation,633,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,7.96,4.43,4.15,4.59,6.03,6.79,8.26,5.53,6.14,4.26,3.16,6.46,6.12,13.16,3.04,6.69,7.65,6.26,3.19,4.43,2.96,5.41,4.09,6.34,4.46,2.82,1.94,,,,,,,,,
February,,,,,,5.87,5.38,1.96,6.66,1.38,4.36,1,7.16,7.74,1.32,7.96,5.31,2.87,6.13,1.6,0.52,6.43,0.16,4.68,0.5,7.35,3.28,7.81,2.14,5.86,3.25,6.25,,,,,,,,,
March,,,,,,2.95,2.29,3.36,2.31,8.07,4.81,4.28,3.31,2.31,2.26,2.78,2.94,7.16,3.45,2.01,3.11,0.68,3.72,3.41,3.46,1.84,3.61,2.05,1.76,2.46,3.39,4.02,,,,,,,,,
April,,,,,,2.53,5.2,2.9,1.89,3.31,6.45,2.77,2.87,4.12,2.44,3.28,1.98,4.01,1.26,1.61,2.65,4.14,4.35,1.95,3.3,4.18,1.22,5.65,0.91,2.93,3.47,1.76,,,,,,,,,
May,,,,,,1.57,2.7,2.09,2.31,2.17,7.29,3.6,2.43,5.13,6.14,5.63,4.44,1.88,1.37,3.16,3.05,2.94,5.37,2.12,4.57,1.58,0.86,1.73,4.71,1.17,0.65,3.51,,,,,,,,,
June,,,,,,2.15,4.18,2.6,4.79,2.09,2.72,0.48,3.79,1.43,3.67,0.07,2.81,5.81,7.34,1.96,2.31,6.46,0.89,2.85,2.85,4.76,4.34,2.12,5.49,3.78,1.11,0.35,,,,,,,,,
July,,,,,,4.28,3.37,2.52,4.45,2.07,7.97,2.61,5.37,5.06,5.46,2.38,3.21,4.28,2.97,3.97,5.57,5.25,4.26,3.17,2.19,2.44,5.39,2.4,5.86,9.21,5.86,1.27,,,,,,,,,
August,,,,,,5.7,3.62,8.89,4.79,5.33,3.55,6.26,6.09,6.31,9.63,4.84,5.69,7.41,6.62,6.98,8.31,6.13,1.55,2.8,6.01,1.17,3.81,3.82,4.23,2.42,2.34,8.16,,,,,,,,,
September,,,,,,1.58,3.81,3.47,16.1,3.04,3.13,1.94,5.34,6.08,5.34,5.36,4.96,6.45,1.15,2.79,3.75,4.77,6.69,1.05,4.26,8.71,6.08,2.12,3.33,1.5,5.09,0.88,,,,,,,,,
October,,,,,,2.38,9.57,11.4,6.04,3.15,2.04,3.41,0.8,8.02,6.17,6.23,4.36,5.36,7.23,8.36,8.15,3.15,9.86,5.17,7.01,10.16,5.49,2.41,11.25,2.64,5.63,5.22,,,,,,,,,
November,,,,,,2.92,3.74,6.27,5.32,4.06,2.71,3.91,5.41,7.99,3.44,4.26,7.66,6.03,8.27,9.77,8.03,9.36,4.26,2.74,3.08,5.67,7.11,2.01,6.43,9.34,8.33,5,,,,,,,,,
December,,,,,,9.49,4.01,3.17,9.96,10.44,3.93,8.09,6.87,6.53,6.52,4.21,2.53,2.1,4.12,8.91,5.21,2.9,2.85,0.76,8.29,4.61,6.11,3.59,6.54,3.79,7.15,1.34,,,,,,,,,
Total,,,,,,49.38,52.3,52.78,69.21,51.14,55.75,46.61,54.97,66.86,56.65,50.16,52.35,59.48,63.07,54.16,57.35,59.86,50.22,33.89,49.95,55.43,52.71,39.8,58.99,49.56,49.09,39.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
