"BOLTON, EGERTON HOUSE - new gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD711147,Long,-2.43837,Lat,53.62856,Elevation,633,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,6.83,6.26,13.37,3.06,6.68,8.14,6.44,3.05,4.58,3.31,5.6,4.34,6.46,4.51,2.99,2.1,,,,,,,,,
February,,,,,,,5.24,2.85,6.21,1.62,0.55,6.78,0.17,5.01,0.5,7.76,3.17,8.12,2.26,5.95,2.81,5.8,,,,,,,,,
March,,,,,,,3.05,7.29,3.43,1.98,3.09,0.69,3.78,3.21,3.55,2.06,3.39,2.07,1.95,2.52,3.54,4.09,,,,,,,,,
April,,,,,,3.42,1.96,4.04,1.33,1.69,2.75,4.24,4.49,2.02,3.33,4.23,1.23,5.67,0.91,3.2,3.68,1.85,,,,,,,,,
May,,,,,,5.51,5.47,1.9,1.39,3.05,3.06,3.02,5.31,2.06,4.46,1.45,0.81,1.72,4.82,1.2,0.67,3.57,,,,,,,,,
June,,,,,,0.06,2.93,6.05,7.36,1.96,2.34,6.58,0.9,3.06,2.88,4.75,4.49,2.14,5.53,3.61,1.15,0.33,,,,,,,,,
July,,,,,,2.46,3.49,4.26,3.06,4.04,5.5,5.41,4.21,3.14,2.34,2.56,5.41,2.34,5.94,9.37,5.56,1.1,,,,,,,,,
August,,,,,,4.91,5.77,7.78,6.69,6.96,8.23,6.01,1.51,2.83,5.97,1.19,3.75,3.84,4.38,2.35,2.53,8.11,,,,,,,,,
September,,,,,,5.73,5.17,6.72,1.14,2.85,3.66,4.73,6.78,1.04,3.96,8.5,6.51,2.25,3.35,1.43,5.11,0.9,,,,,,,,,
October,,,,,,6.14,4.45,5.45,7.21,7.97,8.56,3.25,9.81,5.21,7.47,10.42,5.96,2.45,11.56,2.74,5.65,5.32,,,,,,,,,
November,,,,,,4.49,7.87,6.09,8.19,10.03,7.99,9.97,4.31,2.81,2.86,5.7,7.46,2.09,6.61,8.51,8.54,4.9,,,,,,,,,
December,,,,,,4.31,2.71,1.98,4.16,8.98,5.12,3.02,2.83,0.78,7.96,4.73,6.33,3.54,6.81,3.68,7.57,1.47,,,,,,,,,
Total,,,,,,,54.94,60.67,63.54,54.19,57.53,61.84,50.54,34.22,49.86,56.66,54.11,40.57,60.58,49.07,49.8,39.54,,,,,,,,,
