"LOCH SLOY (SLOY DAM)",,,,,,,,,,,,
Grid ref,NN286108,Long,-4.768642,Lat,56.258679,,,,,,,
Station no,5333/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,13.17,8.98,11.16,12.29,8.03,9.11,17.03,15.94,4.66,,,
February,8.06,5.85,7.81,11.00,5.29,4.31,8.86,5.72,5.76,,,
March,7.97,11.40,3.93,9.17,3.47,5.91,13.84,3.79,11.00,,,
April,8.67,7.81,8.16,5.27,8.28,4.18,5.36,5.57,9.67,,,
May,2.84,3.50,7.23,6.22,6.39,8.43,6.34,8.45,3.41,,,
June,4.22,10.17,2.53,9.79,6.38,9.09,5.22,4.56,7.39,,,
July,9.44,6.63,12.77,7.35,2.07,10.52,10.21,7.09,13.14,,,
August,11.53,11.09,9.67,10.77,2.72,8.99,10.78,11.51,7.34,,,
September,9.91,5.71,16.83,16.51,11.64,10.79,8.41,10.72,,,,
October,4.35,11.99,9.99,19.80,11.03,8.63,14.36,12.60,,,,
November,18.10,4.30,23.30,19.75,7.75,7.57,5.60,3.79,,,,
December,18.18,11.36,13.23,25.18,19.37,20.87,17.38,11.83,,,,
Total,116.44,98.79,126.61,153.10,92.42,108.40,123.39,101.57,,,,
Calc annual,116.44,98.79,126.61,153.10,92.42,108.40,123.39,101.57,62.37,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,,
