SOLLERSHOPE (PERRYFIELD),,,,,,,,,,,,
Grid ref,SO616325,Long,-2.560621,Lat,51.989616,,,,,,,
Station no,2222/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.70,3.21,2.98,1.46,2.16,4.47,4.97,,
February,,,,2.12,1.42,0.44,2.77,4.63,0.23,2.52,,
March,,,,2.36,2.13,0.66,2.27,0.99,2.36,2.26,,
April,,,,0.28,0.91,2.29,0.07,0.34,2.47,1.55,,
May,,,,1.86,4.98,0.48,1.20,2.30,1.18,1.62,,
June,,,,4.39,5.04,1.93,0.84,3.63,0.91,2.49,,
July,,,,1.53,0.48,3.22,2.61,3.26,1.70,2.68,,
August,,,,3.78,0.66,2.91,3.56,1.70,1.40,3.09,,
September,,,,1.95,1.41,2.96,3.56,5.94,0.11,4.63,,
October,,,,2.82,1.09,1.25,1.18,3.08,2.14,6.64,,
November,,,,5.46,2.86,0.82,2.50,3.14,4.32,4.70,,
December,,,1.43,1.78,3.06,3.14,2.70,3.25,5.88,2.66,,
Total,,,,30.03,27.25,23.08,24.72,34.42,27.17,39.81,,
Calc annual,0.00,0.00,1.43,30.03,27.25,23.08,24.72,34.42,27.17,39.81,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
