"GALASHEILS (STANTLING CRAIG) ",,,,,,,,,,,,
Grid ref,NT432392,Long,-2.903975,Lat,55.643012,,,,,,,
Station no,5066/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.08,3.50,0.65,3.40,2.25,2.39,3.70,2.70,1.50,3.50,,
February,2.12,0.50,0.80,2.55,2.34,2.50,3.10,3.20,0.48,4.00,,
March,2.10,1.18,0.79,1.75,1.30,1.95,1.95,2.20,1.50,2.00,,
April,2.90,1.67,1.72,0.80,0.45,0.60,0.80,1.50,2.80,2.00,,
May,2.40,2.28,2.15,4.55,2.15,0.78,2.55,1.90,0.65,1.70,,
June,1.24,1.83,1.68,2.30,0.90,2.50,1.75,3.40,2.90,0.75,,
July,2.95,1.55,3.78,3.10,1.75,3.75,3.10,5.30,1.82,2.45,,
August,4.37,3.00,2.27,5.00,0.55,8.10,6.13,2.95,0.50,100.00,,
September,1.74,1.55,2.36,4.20,1.20,2.36,1.90,1.60,0.70,1.83,,
October,0.32,2.84,1.60,5.15,2.20,2.40,2.00,1.65,3.00,5.00,,
November,6.35,3.24,2.75,4.90,1.60,1.00,1.55,0.60,5.00,3.00,,
December,2.64,3.40,1.70,3.70,5.75,3.35,3.00,4.06,3.90,3.70,,
Total,32.21,26.54,22.25,41.40,22.44,31.68,31.53,31.06,24.75,100.00,,
Calc annual,32.21,26.54,22.25,41.40,22.44,31.68,31.53,31.06,24.75,129.93,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-29.93,,
