"GALASHIELS STANTLING CRAIGS",,,,,,,,,,,,
Grid ref,NT431392,Long,-2.905563,Lat,55.643001,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.60,1.40,1.46,3.70,2.60,0.70,3.70,0.40,2.62,4.05,,
February,3.66,0.16,1.40,4.50,3.80,1.40,1.30,1.50,1.14,1.65,,
March,2.10,3.82,1.30,4.30,2.06,3.80,1.44,2.00,6.00,6.00,,
April,2.00,1.30,2.00,1.30,1.19,3.25,1.06,2.08,1.45,3.80,,
May,2.00,2.66,2.80,2.00,3.00,1.13,6.00,3.48,2.38,3.00,,
June,4.75,2.60,3.06,1.40,2.66,1.35,1.80,4.00,1.25,2.14,,
July,3.90,1.16,3.25,4.00,2.26,2.00,1.75,3.23,3.00,3.78,,
August,4.40,5.12,1.26,3.80,3.80,3.70,7.00,4.37,1.50,2.00,,
September,2.20,1.70,1.83,3.00,1.20,2.25,0.63,1.15,3.00,3.14,,
October,4.50,3.00,2.00,8.00,0.70,2.80,6.00,6.53,1.00,5.40,,
November,4.70,4.70,3.10,2.20,1.20,4.00,4.00,2.30,2.00,0.68,,
December,5.00,3.70,4.60,2.20,2.30,1.40,2.00,4.37,1.40,3.65,,
Total,43.81,31.32,28.06,40.40,26.77,27.78,36.68,35.41,26.74,39.29,,
Calc annual,43.81,31.32,28.06,40.40,26.77,27.78,36.68,35.41,26.74,39.29,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
